dataset,method,record_interval_mean_epochs_2_to_30_seconds,estimated_120_step_mean_seconds
caltech,direct,68.92722163529231,65.50271476316853
caltech,qwen_lora,98.04949503520439,93.62595266529492
caltech,clip_lora,80.92614706888281,76.82877762753422
cifar,direct,66.87680340429833,61.51809732928997
cifar,qwen_lora,112.07293781946446,103.8404361976295
cifar,clip_lora,77.84304024073585,71.66789902057968
imagenette,direct,67.84452916373466,60.929572485074274
imagenette,qwen_lora,105.16738852139177,96.22455831660945
imagenette,clip_lora,80.73072267323732,72.85841992171872
