method,stage,epoch,train_loop_seconds,epoch_wall_seconds,train_time_ratio_to_direct
direct,experts,2,41.67426436394453,48.905721597373486,1.0
direct,optics,4,57.10255540907383,64.06592385470867,1.0
direct,joint,6,60.12732274830341,67.24354583024979,1.0
qwen_lora,experts,2,72.61729492992163,80.93187312036753,1.74249734310243
qwen_lora,optics,4,87.4761887267232,95.88233292102814,1.5319137313568085
qwen_lora,joint,6,92.86066322028637,102.61253922432661,1.5444004318803064
clip_lora,experts,2,49.22833149880171,56.8247636705637,1.1812645585987298
clip_lora,optics,4,66.06299029290676,73.36197639256716,1.1569182818464387
clip_lora,joint,6,67.96761041879654,75.17397042363882,1.1303947575266746
