epoch,train_loss,train_kl,train_cc,train_sim,train_nss,train_map_kd,train_router_balance,train_router_importance,train_phase_dc,train_ccd_operating_point,train_samples,train_epoch_time_sec,validation_samples,validation_kld,validation_cc,validation_sim,validation_nss,validation_auc_judd,validation_mae
1,0.4186717044472694,0.24568642778396607,0.6768994716882706,0.7324621905326844,0.7826045925498009,0.0,1.898386048603058,2.5279338481903078,0.0,1.1405511612892152,10000,223.03842389583588,5000,0.1757706045627594,0.7576562825202942,0.7731998683929443,0.8270063354492188,0.7459154789600618,0.12750312160253524
2,0.3416285547852516,0.20895773776769638,0.7283629066944123,0.753811930847168,0.8552984928131103,0.0,1.9969413431167602,2.9816802227020265,0.0,1.0417552860260009,10000,188.12196201086044,5000,0.15919372191429138,0.78432479429245,0.7860877407073975,0.8647118439674377,0.753056097847433,0.10685758345127105
3,0.3139959151744843,0.19637227792739867,0.7480383092403412,0.7618888336181641,0.8858567452907562,0.0,1.9990840047836305,2.9945063219070436,0.0,1.0350339054107667,10000,604.7066546455026,5000,0.1529857443213463,0.7927526741027832,0.7894309844017029,0.8790564424514771,0.7554107701271545,0.10472414108514785
4,0.29516828931570055,0.1877907028913498,0.7614684137821197,0.7678780254840851,0.9056169691562652,0.0,1.9996246927261352,2.9977484628677367,0.0,1.032150030708313,10000,336.54938914626837,5000,0.14805630929470062,0.8024233854293823,0.7936584682464599,0.8904173008918762,0.7573077018316887,0.1040085273861885
5,0.2792628623366356,0.18046714426279067,0.7728659799098968,0.7730276803016662,0.9212521860599517,0.0,1.9998218711853026,2.998930748939514,0.0,1.0305424790382385,10000,256.9617346972227,5000,0.14389712557792664,0.8104491829872131,0.7970602716445923,0.9013077443122863,0.759012302291524,0.10085003339052201
6,0.26648354744911196,0.17459208312034608,0.7819608355998993,0.77718620262146,0.9341752282619477,0.0,1.9999119820594788,2.9994719051361085,0.0,1.029297937965393,10000,219.63401577621698,5000,0.14165275979042052,0.8116362006187439,0.7980627863883972,0.9058719093322753,0.7596667806919709,0.09577251266241074
7,0.2577708513975143,0.17067466028928757,0.7882325455188751,0.7801132614135742,0.9434207208156585,0.0,1.9999557522773743,2.9997343837738035,0.0,1.0291427145957948,10000,241.74602519720793,5000,0.1374204120874405,0.8201570742607117,0.802386554145813,0.9127826024055481,0.7610332632120899,0.09460907846689225
8,0.25056297317743303,0.16743296374678612,0.7934458126068116,0.7825904301643372,0.950705069065094,0.0,1.9999775767326355,2.9998654201507566,0.0,1.0285516620635986,10000,245.60908696055412,5000,0.13590086917877198,0.8248603962898254,0.8039218742370605,0.9190084264755249,0.7619341131405659,0.09843243119716644
9,0.24437134919166564,0.1645338558793068,0.7977999268531799,0.7847188191890716,0.9564110084533691,0.0,1.9999882947921752,2.999929832458496,0.0,1.0279132654190064,10000,242.91482182592154,5000,0.13278900882005693,0.829160554599762,0.8062790473937989,0.9239701343536377,0.7628933126742011,0.09549094679355621
10,0.23921817400455475,0.1619268830001354,0.8011547231197357,0.786647381734848,0.9602696333885193,0.0,1.9999937029838561,2.9999622562408446,0.0,1.0278731963157655,10000,212.3326942101121,5000,0.13166828920841217,0.8291828411102294,0.807097264957428,0.9260780095100403,0.7630276372531124,0.08998698959350586
11,0.23445859911441802,0.1599291666805744,0.8047721228599548,0.7882757189750671,0.9656212338447571,0.0,1.9999967385292052,2.999980491256714,0.0,1.0273275359153748,10000,173.04404585808516,5000,0.13172406363487243,0.8310930221557618,0.8074859296798707,0.93107518491745,0.7636273358001862,0.08595234868526459
12,0.22893399282693863,0.15752126916646958,0.8089142549991608,0.790152328824997,0.971355895614624,0.0,1.9999982871055604,2.999989820098877,0.0,1.0271763325691223,10000,207.85485590994358,5000,0.1304049317240715,0.833324577999115,0.8086286190986633,0.9319546055793763,0.7636583628819855,0.08733214101791383
13,0.22629378072023393,0.1563294018149376,0.8107831166744233,0.791023753118515,0.9742432551860809,0.0,1.999999066734314,2.999994413757324,0.0,1.026810218811035,10000,201.16035210341215,5000,0.130604167675972,0.8351417464256287,0.8088410254478454,0.935206722164154,0.7639419995160297,0.08671191405653954
14,0.2225430150270462,0.1546562649011612,0.8134995447158814,0.7923740135192872,0.9780137156009674,0.0,1.9999994992256165,2.9999969718933106,0.0,1.0265700952529908,10000,223.25543658435345,5000,0.13043264603614807,0.8355003932952881,0.8091353202819824,0.936460772895813,0.7642649918644978,0.08609074832201004
15,0.2196070068359375,0.15327155492901803,0.815518950510025,0.7934661434650421,0.9807153200149537,0.0,1.9999996896743775,2.999998175048828,0.0,1.0266499202728272,10000,277.3175955414772,5000,0.1257968045115471,0.8401005457878112,0.8123009532928467,0.9376525223731995,0.7652953578485242,0.09155647904276848
16,0.21670142025351524,0.1518221724152565,0.81744357380867,0.7945781378746033,0.9827404411315918,0.0,1.999999810409546,2.999999086380005,0.0,1.0259808748245238,10000,530.0917310491204,5000,0.12816250346899033,0.8388367005348205,0.8108504489898681,0.9410590005874634,0.7649122103727318,0.08677267954349518
17,0.2132810883462429,0.1503644734621048,0.81998711977005,0.7956709215164185,0.9868655787944793,0.0,1.9999999898910523,2.9999999588012694,0.0,1.0257232949256896,10000,113.47353186458349,5000,0.12895683097839356,0.8372164654731751,0.8100178324699402,0.9413213376998901,0.7645879704967404,0.08356785891056061
18,0.21079222551584242,0.14916606117486952,0.8216883203029632,0.7966120954036713,0.9890000126838684,0.0,2.0,3.0,0.0,1.026167639732361,10000,116.5914212167263,5000,0.12414704936742782,0.8441456069946289,0.814351463508606,0.9469908199310303,0.7660945085984676,0.08277248485088348
19,0.20884314717650412,0.14828595318198204,0.8229987580299377,0.7972205995559692,0.9915461614608765,0.0,2.0,3.0,0.0,1.0258171366691589,10000,121.32775850594044,5000,0.12627887978553773,0.8420251466751099,0.8119300671577454,0.9447259760856629,0.7654954257255931,0.08686575116515159
20,0.20699476203918457,0.14746823301911355,0.8243643107414246,0.7979143169403076,0.9933354504585266,0.0,2.0,3.0,0.0,1.026040619277954,10000,133.184258595109,5000,0.126580595600605,0.8432748191833496,0.8127794784545899,0.9479092885017395,0.7657014779472655,0.08224388686418534
21,0.20539905524253846,0.14669506289958953,0.825362798166275,0.7985990681648254,0.9948295446872711,0.0,2.0,3.0,0.0,1.025905834197998,10000,127.96019066870213,5000,0.12196127618551254,0.8470903063774109,0.8158990840911865,0.9471736591339112,0.7662731435787602,0.08290482550263405
22,0.2033100211620331,0.14578190148472786,0.8269923201560974,0.799234690618515,0.9967280503749847,0.0,2.0,3.0,0.0,1.0252880237579345,10000,151.59359853714705,5000,0.1234119922876358,0.8461857391357421,0.8149081768035888,0.9521928771972656,0.7667746131243003,0.08032596586346626
23,0.2003368193626404,0.14454720056653023,0.8293046874046326,0.8002105542182922,1.000122548341751,0.0,2.0,3.0,0.0,1.02534295129776,10000,327.99324257671833,5000,0.1271939164161682,0.8415026545524598,0.8115628445625305,0.9477699678421021,0.7658257490317714,0.08275721597075462
24,0.19884141632914543,0.14385895906686783,0.8302512567043304,0.8008371192932129,1.0018670611858367,0.0,2.0,3.0,0.0,1.025203742313385,10000,506.20962838083506,5000,0.12242027525901794,0.8478823255538941,0.8154922992706298,0.9510110489845276,0.7666799499123341,0.08485129571557044
25,0.19728598719239235,0.1431231659770012,0.8314029243469239,0.8013880135536194,1.0029124080181122,0.0,2.0,3.0,0.0,1.0251265551567077,10000,109.1144937351346,5000,0.12374159369468689,0.8473740443229675,0.8149340236663818,0.9525151986122131,0.7665770306349129,0.08356774242520332
26,0.19656037762165068,0.14281263864040375,0.8319033986091614,0.8016582469463348,1.0038226276397706,0.0,2.0,3.0,0.0,1.024813298034668,10000,105.76671539247036,5000,0.12117458304166794,0.8492913751602172,0.816630788898468,0.955908726978302,0.7673222740812613,0.07966984116435051
