method,r_at_1,r_at_5,r_at_10,mrr,latency_ms_per_query,power_w,energy_j_per_query,rated_upper_energy_j_per_query,measurement_kind
Optical MoE strong balance,0.7983333333333333,0.95375,0.9858333333333333,0.867616268422718,9.374038,109.37045577924869,1.025242808551997,6.143632016744,composed physical-plus-measured-electronics proxy
Frozen Qwen3-VL-Embedding-2B,0.7370833333333333,0.93375,0.9604166666666667,0.8230330539977374,25.690505142211915,154.20146771037184,3.9615135991499324,14.772040456771851,direct 5090D model-active measurement
