frames,sample_videos,mean_total_ms_per_video,median_total_ms_per_video,p95_total_ms_per_video,mean_decode_ms,mean_processor_ms,mean_host_to_device_ms,mean_qwen_backbone_ms,mean_pool_and_linear_ms,videos_per_second,peak_cuda_gib,mean_unique_sampled_positions
4,558,134.05764603730304,95.00909294001758,378.9282013080082,89.36357894648654,4.917215750766351,1.6569991727062505,37.89547173303008,0.21372391470110438,7.4594775423830635,4.052280426025391,4.0
9,558,278.55911936926384,204.35185206588358,737.5443116645325,188.41212374153196,21.984719807752757,10.450716826006584,57.45825622736486,0.2424112549485592,3.589902216320475,4.168701171875,8.5
16,558,476.59064063261593,344.4826415507123,1277.8096582042053,348.60328950428516,36.534519771391054,8.137106410174306,83.05434045827477,0.2519640863762908,2.0982367565435656,4.283481597900391,13.333333333333334
36,558,1133.4935383075067,832.3884303681552,2776.558447058778,853.0293223602483,81.34210857105404,14.105283971925978,184.74604083119982,0.25920462118641985,0.882228231749045,4.6779890060424805,19.5
