frames,test_videos,mean_total_ms,median_total_ms,p95_total_ms,mean_qwen_ms,optical_six_layer_ms,total_to_optical_core_ratio,qwen_to_optical_core_ratio,projected_hybrid_ms_if_qwen_replaced,projected_e2e_speedup_if_qwen_replaced,temporal_srcc,temporal_krcc,temporal_plcc,temporal_rmse,temporal_mae,best_epoch
4,558,134.05764603730304,95.00909294001758,378.9282013080082,37.89547173303008,9.084,14.757556807276865,4.171672361628146,105.24617430427297,1.2737531499219572,0.7439735206463389,0.5487390756607056,0.7548564672470093,9.113212585449219,7.41826868057251,50
9,558,278.55911936926384,204.35185206588358,737.5443116645325,57.45825622736486,9.084,30.664808384991616,6.325215348675128,230.18486314189897,1.2101539413455882,0.7513768803591877,0.5546241998672485,0.7586435675621033,8.973591804504395,7.2764506340026855,50
16,558,476.59064063261593,344.4826415507123,1277.8096582042053,83.05434045827477,9.084,52.46484375083839,9.142926074226637,402.62030017434114,1.183722331999267,0.7635553891289037,0.5635484457015991,0.7695525288581848,8.791770935058594,7.124547481536865,49
25,558,773.2655112690036,565.6218609074131,1929.7443530871526,142.4323258233861,9.084,85.12390040389737,15.679472239474471,639.9171854456174,1.208383723482167,0.7731521360933207,0.5725499391555786,0.776135265827179,8.656533241271973,6.95834493637085,50
36,558,1133.4935383075067,832.3884303681552,2776.558447058778,184.74604083119982,9.084,124.77912134604874,20.337521007397605,957.8314974763068,1.1833955568323176,0.7820351938769257,0.579181969165802,0.7841505408287048,8.512925148010254,6.892021179199219,50
49,558,1532.186026925281,1144.7092520538718,3732.2204396594316,252.98458323054564,9.084,168.66865113664477,27.849469752371824,1288.2854436947355,1.1893218497688303,0.7835890164323341,0.5823066830635071,0.7829337120056152,8.531095504760742,6.883073806762695,49
