epoch,epoch_time_sec,train_loss,train_heatmap_loss,train_coordinate_loss,train_router_balance_loss,train_router_importance_loss,train_phase_dc_loss,train_router_entropy,train_teacher_distill_loss,train_router_response_loss,train_pck_at_0.2_torso,train_pckh_at_0.5_head,train_mean_pixel_error,train_normalized_mean_error_torso,train_evaluated_joints,train_pck_evaluated_joints,train_pckh_evaluated_joints,train_samples,test_loss,test_heatmap_loss,test_coordinate_loss,test_pck_at_0.2_torso,test_pckh_at_0.5_head,test_mean_pixel_error,test_normalized_mean_error_torso,test_evaluated_joints,test_pck_evaluated_joints,test_pckh_evaluated_joints,test_samples,test_phase,test_epoch,test_model
11,488.85599153488874,0.05401492617684257,0.003426243074875615,0.30268312064129865,2.0,3.0,0.0,2.1903776563484053e-07,0.0,0.0,0.32213636737942963,0.5245513270801482,47.922365256869725,0.646727421034513,145771,145724,145206,10428,0.028209240302443504,0.0027999434936791657,0.25409296452999114,0.5030714285714286,0.6736428571428571,27.19238389221446,0.4118553317861371,14000,14000,14000,1000,student_test,11,student
12,467.2334326505661,0.054058307881128025,0.003400054326856821,0.30338078564640936,2.0,3.0,0.0,1.4440510287602779e-07,0.0,0.0,0.3341773020447372,0.5354188620506781,46.98433908603749,0.6327019988707783,145776,145740,145191,10428,0.028165895834565163,0.0027739009279757736,0.25391994643211363,0.5144285714285715,0.6833571428571429,26.418173313049067,0.4008007477511739,14000,14000,14000,1000,student_test,12,student
13,381.6890748143196,0.053960650706307206,0.0033763665609464685,0.3026421391156884,2.0,3.0,0.0,1.1055309159587567e-07,0.0,0.0,0.3449813412358687,0.5445602569935614,45.90298635622101,0.6192193139099297,145776,145776,145062,10428,0.028132984980940818,0.002746682846918702,0.2538630177974701,0.5215,0.6835714285714286,26.1958986648691,0.39769251484945917,14000,14000,14000,1000,student_test,13,student
14,439.83019614219666,0.053876652886378704,0.0033544297554249057,0.302022568507125,2.0,3.0,0.0,9.013897795960649e-08,0.0,0.0,0.3563985594237695,0.5545474571137484,45.01284973343591,0.6077746567647632,145787,145775,145268,10428,0.028089212462306022,0.0027296458687633275,0.25359566044807436,0.5290714285714285,0.6876428571428571,25.75290882856798,0.3922315578287391,14000,14000,14000,1000,student_test,14,student
15,375.36766551434994,0.053863551247597743,0.003336957750872698,0.30206673584041077,2.0,3.0,0.0,7.584308572963436e-08,0.0,0.0,0.36316923245794575,0.5616166488646935,44.33319046682782,0.5982557745448324,145764,145764,145115,10428,0.028068950116634368,0.002710941353812814,0.25358008325099946,0.5304285714285715,0.6958571428571428,25.459863743761556,0.387242693856276,14000,14000,14000,1000,student_test,15,student
16,384.11996202915907,0.05389140244526199,0.00331830714170517,0.30253220454435675,2.0,3.0,0.0,6.634667846306485e-08,0.0,0.0,0.3722047579172787,0.5684314374810276,43.66252381677451,0.5887146917601843,145740,145694,144948,10428,0.02803714659810066,0.0026966527812182905,0.25340493392944335,0.5370714285714285,0.7007142857142857,25.095700287156607,0.38095935914036116,14000,14000,14000,1000,student_test,16,student
17,435.353725656867,0.053839630535566174,0.0033038412930788976,0.3021595293379488,2.0,3.0,0.0,5.979123803747832e-08,0.0,0.0,0.37846238292908846,0.5755640082137787,43.06846205262119,0.5809421867501969,145756,145745,145122,10428,0.028018702194094657,0.002689198236912489,0.2532950357198715,0.5416428571428571,0.7012142857142857,25.05898917478669,0.38027407901887805,14000,14000,14000,1000,student_test,17,student
18,850.1791487708688,0.05378662409152983,0.0032849027031277406,0.3018191862618461,2.0,3.0,0.0,5.349428537728674e-08,0.0,0.0,0.38689116220351427,0.5840316445228513,42.29227553072358,0.5701843943633134,145772,145749,145112,10428,0.028001987665891646,0.0026834365241229534,0.2531855081319809,0.5455,0.6993571428571429,24.95008236241048,0.37952403335059703,14000,14000,14000,1000,student_test,18,student
19,275.9780885130167,0.0538534970063106,0.0032763950973084695,0.3025730391617794,2.0,3.0,0.0,4.9275617905586744e-08,0.0,0.0,0.393022059075783,0.5881797374806971,41.88413583377603,0.5636838639025373,145745,145745,145056,10428,0.02797782103717327,0.002674382995814085,0.25303437674045565,0.548,0.7068571428571429,24.526395035390077,0.37276310177921484,14000,14000,14000,1000,student_test,19,student
20,165.85991260409355,0.05371921035948045,0.003262871380510987,0.3013656290385931,2.0,3.0,0.0,4.5577670985506774e-08,0.0,0.0,0.3989118651975246,0.5938096715265571,41.325000461060476,0.557627819804039,145765,145754,145065,10428,0.027957943722605707,0.002645423201844096,0.2531252007484436,0.5536428571428571,0.7092142857142857,24.339568320670566,0.36937982133438463,14000,14000,14000,1000,student_test,20,student
21,184.90841797739267,0.05370548694874301,0.003247111127470696,0.301386260059221,2.0,3.0,0.0,4.2120967349736803e-08,0.0,0.0,0.4070745461780162,0.6020301280372673,40.51948001469747,0.5470101799177748,145762,145762,145114,10428,0.027936163440346717,0.0026400555167347193,0.2529610753059387,0.5565714285714286,0.7143571428571428,24.085780734163045,0.36499082902441843,14000,14000,14000,1000,student_test,21,student
22,205.94118055701256,0.05367377211775961,0.0032319531317494487,0.30122120813889935,2.0,3.0,0.0,3.950187224298053e-08,0.0,0.0,0.41225668786749825,0.6059434995556842,40.250004976076255,0.5427019874575341,145761,145749,145167,10428,0.02792184279859066,0.0026240937188267708,0.2529774875640869,0.5594285714285714,0.7168571428571429,23.959419138224263,0.36333095853526953,14000,14000,14000,1000,student_test,22,student
23,217.99606381356716,0.05365840476942236,0.0032218191741440927,0.3011690426602142,2.0,3.0,0.0,3.73359418274372e-08,0.0,0.0,0.4175884500315648,0.6089670711288422,39.76666770768986,0.5364946659324692,145768,145732,145131,10428,0.027902184724807738,0.0026089567635208368,0.25293227648735045,0.5704285714285714,0.7257142857142858,23.359508669511815,0.3544971775235042,14000,14000,14000,1000,student_test,23,student
24,509.17965913563967,0.053706196931629833,0.003212506860429596,0.30174023193054655,2.0,3.0,0.0,3.55812064791494e-08,0.0,0.0,0.4214917426534659,0.6125994557916853,39.64313311254985,0.5343792620764868,145760,145749,145165,10428,0.027880780026316644,0.002600983463227749,0.25279796171188357,0.5678571428571428,0.7275714285714285,23.320825942890984,0.35392885848920164,14000,14000,14000,1000,student_test,24,student
25,840.2327092885971,0.05365597208912545,0.0031974507311961354,0.3013885491165019,2.0,3.0,0.0,3.313324647473178e-08,0.0,0.0,0.4271197837333443,0.6178545349333848,39.181871419294595,0.5279100896962424,145758,145746,145162,10428,0.02786370140314102,0.0025871368627995253,0.25276564264297485,0.5713571428571429,0.7316428571428572,23.00029884131705,0.3491194202592805,14000,14000,14000,1000,student_test,25,student
26,592.5456896945834,0.053657036198936844,0.003184364047251559,0.3015302906307993,2.0,3.0,0.0,3.178384863010709e-08,0.0,0.0,0.43197524001674453,0.62310948120166,38.609603889656604,0.5199237567063315,145755,145719,145066,10428,0.027859314888715743,0.002587455895729363,0.2527185858488083,0.5754285714285714,0.7313571428571428,23.021379752672942,0.3490863749075659,14000,14000,14000,1000,student_test,26,student
27,206.83109671622515,0.053655264212520905,0.0031756016146784593,0.3016002862433798,2.0,3.0,0.0,3.005757375221446e-08,0.0,0.0,0.4373249684256768,0.628248610938771,38.189619105036314,0.514115809917566,145711,145688,145062,10428,0.02783350345492363,0.0025627543330192567,0.25270748615264893,0.5777142857142857,0.7350714285714286,22.659905092892103,0.3437527077091695,14000,14000,14000,1000,student_test,27,student
28,230.65719294548035,0.0535845920603578,0.0031674349299904586,0.30097553879879974,2.0,3.0,0.0,2.8467126272067697e-08,0.0,0.0,0.43923508665998817,0.6290905080914179,37.990153965621126,0.51297681489782,145754,145742,145092,10428,0.02781019729375839,0.0025481708282604812,0.2526202617883682,0.5802857142857143,0.7357142857142858,22.570402388028,0.3421733049950367,14000,14000,14000,1000,student_test,28,student
29,218.09568647295237,0.05348947945743582,0.0031534636589313748,0.300164109080927,2.0,3.0,0.0,2.7771185022589446e-08,0.0,0.0,0.4436500367089563,0.6338809473010455,37.51540017980313,0.5072277274329475,145777,145741,145297,10428,0.02780035249888897,0.0025420369068160655,0.2525831525325775,0.5842142857142857,0.741,22.206395982867107,0.33632731497041374,14000,14000,14000,1000,student_test,29,student
30,227.53695415705442,0.053603227452832615,0.0031469534992554383,0.30136678091492924,2.0,3.0,0.0,2.6321382890088976e-08,0.0,0.0,0.44774480467784883,0.6387251315044663,37.09150882891886,0.49957990962839066,145743,145708,144862,10428,0.027778745874762534,0.0025306275822222233,0.2524811794757843,0.588,0.7410714285714286,22.140181892393688,0.3354849361722892,14000,14000,14000,1000,student_test,30,student
31,232.19007509201765,0.05353423047383535,0.003137021744212955,0.300776044613427,2.0,3.0,0.0,2.5390799322164228e-08,0.0,0.0,0.45356128483418173,0.6414140023947481,36.90407074612652,0.4984387976253802,145783,145762,145318,10428,0.027751799300312997,0.0025164375631138683,0.25235361397266387,0.5967857142857143,0.7483571428571428,21.795930283693064,0.33073922073148665,14000,14000,14000,1000,student_test,31,student
32,230.7004045918584,0.05351385484922193,0.0031298689079700638,0.30064385625243323,2.0,3.0,0.0,2.4288747220796e-08,0.0,0.0,0.45693942366393886,0.6429741373377562,36.61760113108503,0.49415510292647563,145783,145783,145306,10428,0.027734603732824326,0.0025040555065497755,0.2523054801225662,0.6035,0.7526428571428572,21.489353080307,0.3258860375625472,14000,14000,14000,1000,student_test,32,student
33,209.52045208960772,0.05358742421266444,0.003123780146931017,0.3014403234668559,2.0,3.0,0.0,2.3578415792459744e-08,0.0,0.0,0.460035536163878,0.6466657021006869,36.54539871854768,0.49151147404881285,145767,145767,145143,10428,0.027729874297976492,0.0024993483498692514,0.2523052561283112,0.5965,0.7503571428571428,21.69906851784273,0.32960104838666704,14000,14000,14000,1000,student_test,33,student
34,226.83475129306316,0.053554853672353894,0.003117083690186736,0.30118197407880687,2.0,3.0,0.0,2.264071104981149e-08,0.0,0.0,0.4642011732821023,0.6513537949740836,36.11225175488642,0.4862594139530546,145745,145745,144889,10428,0.027713536694645883,0.0024952178010717034,0.252183185338974,0.603,0.7536428571428572,21.392255854617005,0.32483377579917294,14000,14000,14000,1000,student_test,34,student
35,255.33307192474604,0.05348577633740164,0.003111105426802294,0.3005505732000217,2.0,3.0,0.0,2.213595637097846e-08,0.0,0.0,0.4659462797159617,0.6528327607454887,35.80303891646925,0.48312705982373044,145767,145755,145247,10428,0.027692515909671783,0.002469733658246696,0.25222781908512115,0.6072142857142857,0.756,21.244601988821156,0.3221380959877087,14000,14000,14000,1000,student_test,35,student
36,227.43260803818703,0.053520435060824205,0.003101912597004977,0.3009890670354768,2.0,3.0,0.0,2.0950348168306205e-08,0.0,0.0,0.4696999842205284,0.6553385362899341,35.49149574761405,0.478085215414149,145770,145759,145302,10428,0.02767747089266777,0.0024633829332888126,0.25214087545871733,0.6107142857142858,0.7589285714285714,21.139696772572982,0.3203356535295984,14000,14000,14000,1000,student_test,36,student
37,225.7641613036394,0.0533598446750554,0.0030951965744487474,0.29945054027853135,2.0,3.0,0.0,2.0702850781275274e-08,0.0,0.0,0.47253199739216967,0.6576121027577038,35.30932090391735,0.47789903561481695,145751,145715,145157,10428,0.027668143451213836,0.0024618261428549885,0.25206316912174226,0.6124285714285714,0.7582857142857143,21.02669201980398,0.3194034821049591,14000,14000,14000,1000,student_test,37,student
38,206.09488391131163,0.05347213141211477,0.0030868760294752145,0.30065677541629265,2.0,3.0,0.0,1.9653671568517105e-08,0.0,0.0,0.4754373927958834,0.6599368738095074,35.12041649008364,0.472656530858386,145786,145750,145423,10428,0.027661300644278526,0.0024395924229174853,0.2522170774936676,0.6137142857142858,0.7593571428571428,21.13451353419865,0.32089963776882685,14000,14000,14000,1000,student_test,38,student
39,254.67250156402588,0.05353389650520393,0.0030839066665961134,0.301303928662956,2.0,3.0,0.0,1.9753178806409683e-08,0.0,0.0,0.47927443366583883,0.6614193299483992,34.964849911867155,0.47215804078263346,145774,145762,145153,10428,0.027642115250229835,0.002438341642729938,0.2520377323627472,0.619,0.765,20.706470856063067,0.31419145834123613,14000,14000,14000,1000,student_test,39,student
40,502.96425119042397,0.053451244656809636,0.0030743771678409786,0.3005726650888818,2.0,3.0,0.0,1.9145422754216817e-08,0.0,0.0,0.4817709584228259,0.6648236494498525,34.73351584661721,0.46801097865868946,145764,145729,145052,10428,0.027639863982796668,0.002437815234065056,0.2520204831361771,0.6182142857142857,0.7626428571428572,20.81714921788339,0.31518351679482165,14000,14000,14000,1000,student_test,40,student
41,532.3255022987723,0.05339383285479798,0.003067950093248837,0.3000626249026649,2.0,3.0,0.0,1.8394541248839337e-08,0.0,0.0,0.4853397179079085,0.6670773848038878,34.39544917209905,0.4639897804106926,145780,145768,145274,10428,0.027624258667230606,0.002427305615507066,0.2519695272445679,0.6204285714285714,0.7665714285714286,20.422540268121818,0.30970395100475706,14000,14000,14000,1000,student_test,41,student
42,275.8653693050146,0.05340549917795167,0.0030607130016065565,0.3002519445328773,2.0,3.0,0.0,1.8094454550477123e-08,0.0,0.0,0.48713882653376445,0.6692316186111993,34.28665957848722,0.46221061620952136,145719,145671,144902,10428,0.027614349856972694,0.002411332287825644,0.2520301722288132,0.6285,0.7709285714285714,20.35893092731014,0.30915207437109576,14000,14000,14000,1000,student_test,42,student
43,252.28588174283504,0.05338174476647999,0.0030524142419274198,0.3000972183513422,2.0,3.0,0.0,1.7975270032108677e-08,0.0,0.0,0.48818703180308975,0.6717322297888163,34.00853470606549,0.4601086093621583,145772,145772,145229,10428,0.027608280628919603,0.0024163325605913995,0.2519194767475128,0.6245714285714286,0.7718571428571429,20.280003391570546,0.30830530903048453,14000,14000,14000,1000,student_test,43,student
44,219.64282363653183,0.053437150078838154,0.0030462369524616936,0.3007134136039725,2.0,3.0,0.0,1.7116748597114453e-08,0.0,0.0,0.49284283047870003,0.6747819617244658,33.76293866844004,0.45726700140880044,145740,145728,145158,10428,0.0275918348133564,0.0023975878050550817,0.2519424657821655,0.6295,0.7733571428571429,20.042880153039203,0.30466701812070296,14000,14000,14000,1000,student_test,44,student
45,269.7067749276757,0.053385799900011674,0.003041704217458553,0.30024506708397736,2.0,3.0,0.0,1.7086079026323164e-08,0.0,0.0,0.49540321363393114,0.6756254260747413,33.71433783122476,0.4544478414586501,145754,145754,145221,10428,0.027591804713010787,0.0024018954280763866,0.25189908981323245,0.6322142857142857,0.7739285714285714,20.289597062481036,0.30831596760091173,14000,14000,14000,1000,student_test,45,student
46,163.01073358953,0.053384936087070685,0.003034713861682907,0.30030643825083797,2.0,3.0,0.0,1.6644961996022842e-08,0.0,0.0,0.4981609574000878,0.6779357346141389,33.48454192305222,0.45104811588403104,145752,145728,145117,10428,0.027561977609992027,0.002376774820499122,0.25185202515125277,0.6387142857142857,0.7789285714285714,19.830155650837348,0.3009340355299526,14000,14000,14000,1000,student_test,46,student
47,157.77183312177658,0.05339914289673581,0.0030291536231684215,0.30050394753523607,2.0,3.0,0.0,1.6058420470704728e-08,0.0,0.0,0.5022638092363417,0.6813844946511916,33.201443217097804,0.4480455766388187,145784,145772,145266,10428,0.027566718876361848,0.0023840749403461815,0.25182643413543704,0.639,0.777,20.070828523678706,0.3046259190231303,14000,14000,14000,1000,student_test,47,student
48,205.96090558171272,0.05330320335367332,0.0030214665952382597,0.2996217826853596,2.0,3.0,0.0,1.6001361318859016e-08,0.0,0.0,0.502208989627353,0.6820976392264319,33.12354797944626,0.4474948391230689,145780,145768,145249,10428,0.027556561559438704,0.0023675178457051517,0.25189043378829956,0.6425,0.7817857142857143,19.68759621722863,0.298671068776559,14000,14000,14000,1000,student_test,48,student
49,241.58266393095255,0.05342942879095496,0.0030168134446381255,0.30093057670833784,2.0,3.0,0.0,1.5919611305715576e-08,0.0,0.0,0.5035135394792825,0.684459860155291,32.94310403143749,0.44376097822567895,145758,145722,145018,10428,0.027542032897472382,0.002357847333885729,0.25184185218811034,0.6461428571428571,0.7846428571428572,19.589451359297282,0.29719021667660267,14000,14000,14000,1000,student_test,49,student
50,210.5540442764759,0.053275613520775984,0.003009565498506258,0.29946465166675024,2.0,3.0,0.0,1.559642088954817e-08,0.0,0.0,0.5070825612518015,0.6867323730098559,32.6789280434024,0.44120825792832785,145722,145710,145090,10428,0.027532733365893364,0.002351274664513767,0.2518145827054977,0.6462857142857142,0.7851428571428571,19.432078591879723,0.2949818948181563,14000,14000,14000,1000,student_test,50,student
51,220.9736282005906,0.053311050305443794,0.0030010822585433447,0.2999038516354826,2.0,3.0,0.0,1.4925627052671253e-08,0.0,0.0,0.5105945137636075,0.6895713547942848,32.51562696526202,0.43843168887603395,145795,145783,145225,10428,0.02752922224998474,0.002350838806480169,0.2517838314771652,0.6503571428571429,0.7864285714285715,19.227379847737563,0.2919747717822214,14000,14000,14000,1000,student_test,51,student
52,164.30906320363283,0.053336206356318555,0.00299975894910248,0.3001687364030442,2.0,3.0,0.0,1.498999609449878e-08,0.0,0.0,0.5110879350093315,0.6910961925505225,32.38639939816781,0.4386613178387498,145756,145744,145084,10428,0.02752243199944496,0.0023427011817693712,0.2517973039150238,0.6539285714285714,0.7875,19.228543916363,0.292513458555286,14000,14000,14000,1000,student_test,52,student
53,177.90350227802992,0.05331446932172199,0.0029920916933792105,0.3000280870061109,2.0,3.0,0.0,1.4807714144490706e-08,0.0,0.0,0.5136457189901208,0.6919739098692049,32.27733141830724,0.43541301024556767,145772,145760,145189,10428,0.027514132559299468,0.002332853736355901,0.2518127847909927,0.6558571428571428,0.7899285714285714,19.129873202265372,0.29070277131377087,14000,14000,14000,1000,student_test,53,student
54,179.09328354150057,0.053283810842743674,0.0029854617361300836,0.2997876741234992,2.0,3.0,0.0,1.4622218772455336e-08,0.0,0.0,0.5171396623517387,0.6947522849841928,31.99643691379592,0.4321557739808554,145785,145773,145187,10428,0.02749517688155174,0.0023216235311701895,0.2517355295419693,0.6602857142857143,0.7942857142857143,18.88202093270208,0.287777296987847,14000,14000,14000,1000,student_test,54,student
55,200.37206915020943,0.05333028930497663,0.002985168417612406,0.30025557091078814,2.0,3.0,0.0,1.4198140113380369e-08,0.0,0.0,0.5167757605697584,0.6938594073053067,32.05531055798429,0.4321047471552838,145758,145746,145100,10428,0.02750638221204281,0.002334654234349728,0.25171727406978606,0.6578571428571428,0.7959285714285714,18.822230879962643,0.28680773659979125,14000,14000,14000,1000,student_test,55,student
56,205.20841309428215,0.053310495450103884,0.00297576043814475,0.3001515281625666,2.0,3.0,0.0,1.4045526550967228e-08,0.0,0.0,0.5199352413357846,0.6984371985336678,31.888701777536546,0.4296610637512509,145772,145772,145124,10428,0.02750178848206997,0.0023261234583333134,0.2517566466331482,0.6578571428571428,0.7937857142857143,19.097468619149975,0.2912607415994423,14000,14000,14000,1000,student_test,56,student
57,156.78735464811325,0.053294836917529856,0.002967867179779821,0.30007388478478664,2.0,3.0,0.0,1.4092037016905722e-08,0.0,0.0,0.5237311046611361,0.7004138633906498,31.45360887769056,0.42420951312445115,145761,145737,145217,10428,0.027474759444594384,0.002312539138831198,0.2516221989393234,0.6666428571428571,0.7992142857142858,18.63798124498129,0.2842345364467803,14000,14000,14000,1000,student_test,57,student
58,148.465307995677,0.053243164360340316,0.002963404279635554,0.29960168547153837,2.0,3.0,0.0,1.3942960128834284e-08,0.0,0.0,0.5244727417429367,0.7014772359793311,31.378537493756998,0.4243764104740046,145778,145754,145339,10428,0.027469485014677046,0.0023041096804663538,0.2516537491083145,0.6626428571428571,0.7983571428571429,18.61175442326468,0.28321588902520306,14000,14000,14000,1000,student_test,58,student
59,155.62017247080803,0.05328465425732678,0.0029571157594604006,0.3000794207062079,2.0,3.0,0.0,1.338276629062202e-08,0.0,0.0,0.5264656639402756,0.7013918119777255,31.31210784791747,0.4226302107289344,145748,145736,144919,10428,0.027468364506959914,0.0022991099013015626,0.251692541718483,0.6657142857142857,0.8,18.46631272079902,0.2809807031052762,14000,14000,14000,1000,student_test,59,student
60,174.75813968479633,0.053237640296402315,0.0029561930860038726,0.2996185456981685,2.0,3.0,0.0,1.3479007364633451e-08,0.0,0.0,0.52716358522279,0.7029895984018737,31.18386286170371,0.42217389961939306,145765,145765,145170,10428,0.02748097497224808,0.0023088537016883494,0.251721208691597,0.6634285714285715,0.7997857142857143,18.579035510504617,0.2826867781808345,14000,14000,14000,1000,student_test,60,student
61,154.46444828808308,0.05323540317598412,0.002944212354270232,0.2997162430266745,2.0,3.0,0.0,1.3403517101826465e-08,0.0,0.0,0.5299900524817343,0.7056933281955301,31.143192331088542,0.4202630859294944,145765,145765,145328,10428,0.027451164737343787,0.002285377369262278,0.2516578701734543,0.6745714285714286,0.804,18.240071092109062,0.277293330008933,14000,14000,14000,1000,student_test,61,student
62,153.181278526783,0.053216433689129684,0.002944566817535498,0.2995229366070748,2.0,3.0,0.0,1.3224943932788577e-08,0.0,0.0,0.5308525089531964,0.7063612881005683,31.003771641592984,0.41864532009672145,145770,145758,145175,10428,0.02744343076646328,0.002278164661489427,0.2516526566743851,0.6760714285714285,0.8060714285714285,18.120689790634703,0.2754842798737101,14000,14000,14000,1000,student_test,62,student
63,152.3617740571499,0.053197995804201655,0.0029371640730079794,0.29941215805958,2.0,3.0,0.0,1.3362762736934912e-08,0.0,0.0,0.5359678913244829,0.710541357629348,30.740926735567836,0.4158998084822672,145767,145755,145209,10428,0.02744932061433792,0.0022708756094798445,0.25178444623947144,0.6743571428571429,0.8044285714285714,18.338046173293677,0.2786967248494024,14000,14000,14000,1000,student_test,63,student
64,149.76660600304604,0.05323562865535967,0.002935536614226947,0.29980529029683955,2.0,3.0,0.0,1.2994800993006556e-08,0.0,0.0,0.5357267818796781,0.7109519838452897,30.61521472550369,0.41395591468345067,145759,145759,145097,10428,0.027445141822099686,0.0022709040082991125,0.2517423733472824,0.6767142857142857,0.8076428571428571,18.168327276725588,0.27675454448363557,14000,14000,14000,1000,student_test,64,student
65,164.84491242468357,0.05320070174104371,0.0029310852901061257,0.29950036538895586,2.0,3.0,0.0,1.2761238928121301e-08,0.0,0.0,0.5376603773584906,0.7112704678060441,30.64263068232886,0.4137746866693009,145750,145750,145167,10428,0.02743366988003254,0.0022727430425584314,0.25160926485061647,0.6804285714285714,0.8092142857142857,17.97745179185697,0.2732574906245812,14000,14000,14000,1000,student_test,65,student
66,150.9080574735999,0.053178862253104676,0.0029228174594817893,0.29936468069083305,2.0,3.0,0.0,1.2755125584134361e-08,0.0,0.0,0.5372673577048933,0.712088321032066,30.542695676086907,0.4128625649165048,145783,145771,145107,10428,0.027436097756028174,0.0022659743186086417,0.25170123028755187,0.6745,0.8067142857142857,18.182315075955753,0.27675560140354505,14000,14000,14000,1000,student_test,66,student
67,159.7559779882431,0.053189720263998305,0.0029234757188669725,0.2994666309833618,2.0,3.0,0.0,1.2813481081613303e-08,0.0,0.0,0.5381706890281143,0.712483889421122,30.65001986081585,0.4157727627072922,145727,145727,145091,10428,0.027430627718567847,0.00226489535626024,0.25165731930732727,0.6774285714285714,0.8105714285714286,17.914891736692084,0.27255626528218,14000,14000,14000,1000,student_test,67,student
