dataset,base,variant,top1_change_pp,top3_change_pp,expert_circular_rms_difference_rad,global_circular_rms_difference_rad
caltech,direct,clip_vision_lora,1.4999985694885254,-0.4999995231628418,1.8917598724365234,0.38256537914276123
caltech,direct,qwen_vision_lora,-1.9999980926513672,-0.9999990463256836,1.8753844499588013,0.3960045874118805
caltech,qwen_vision_pooled_lora,qwen_vision_lora,-0.4999995231628418,0.4999995231628418,0.8499591946601868,0.4038805365562439
caltech,qwen_vision_lora,qwen_vision_global_lora,0.4999995231628418,-0.9999990463256836,0.8043848872184753,0.4946058690547943
cifar,direct,clip_vision_lora,-2.1999984979629517,-2.399998903274536,1.8407639265060425,0.4729718267917633
cifar,direct,qwen_vision_lora,-0.6999969482421875,-1.8999993801116943,1.8180350065231323,0.3994715213775635
cifar,qwen_vision_pooled_lora,qwen_vision_lora,-0.09999871253967285,-1.3999998569488525,1.0751408338546753,0.37731534242630005
cifar,qwen_vision_lora,qwen_vision_global_lora,-2.800002694129944,-1.699995994567871,0.8314861059188843,0.49620920419692993
imagenette,direct,clip_vision_lora,-0.7388532161712646,-1.5286624431610107,1.8209333419799805,0.3123680651187897
imagenette,direct,qwen_vision_lora,-1.910826563835144,-0.9426772594451904,1.8112595081329346,0.3181983232498169
imagenette,qwen_vision_pooled_lora,qwen_vision_lora,-1.8853485584259033,-0.815284252166748,0.8902572989463806,0.34094929695129395
imagenette,qwen_vision_lora,qwen_vision_global_lora,-0.891721248626709,-1.5796184539794922,0.7453003525733948,0.41862937808036804
