phase,host_time_unix,watts,utilization_percent,memory_used_mib
idle,1788874834.444624,61.31,0.0,4501.0
idle,1788874834.4949088,61.31,0.0,4501.0
idle,1788874834.5451415,61.31,0.0,4501.0
idle,1788874834.5953877,61.7,0.0,4501.0
idle,1788874834.6456776,61.7,0.0,4501.0
idle,1788874834.695917,61.21,0.0,4501.0
idle,1788874834.7463076,61.21,0.0,4501.0
idle,1788874834.7966278,61.21,0.0,4501.0
idle,1788874834.8469667,61.21,0.0,4501.0
idle,1788874834.8972921,61.21,0.0,4501.0
idle,1788874834.947585,61.21,0.0,4501.0
idle,1788874834.997904,61.1,0.0,4501.0
idle,1788874835.0482378,61.1,0.0,4501.0
idle,1788874835.0985038,61.1,0.0,4501.0
idle,1788874835.1488564,61.1,0.0,4501.0
idle,1788874835.199177,40.54,0.0,4501.0
idle,1788874835.249515,40.54,0.0,4501.0
idle,1788874835.2998087,40.54,0.0,4501.0
idle,1788874835.350167,38.58,0.0,4501.0
idle,1788874835.4004967,38.67,0.0,4501.0
idle,1788874835.4507847,38.67,0.0,4501.0
idle,1788874835.5236473,39.1,0.0,4501.0
idle,1788874835.5784442,39.1,0.0,4501.0
idle,1788874835.6642585,38.69,0.0,4501.0
idle,1788874836.0116873,38.69,0.0,4501.0
idle,1788874836.0620048,52.13,0.0,4501.0
idle,1788874836.1123319,52.13,0.0,4501.0
idle,1788874836.162779,59.92,0.0,4501.0
idle,1788874836.2131133,59.92,0.0,4501.0
idle,1788874836.2634695,60.85,0.0,4501.0
idle,1788874836.3137326,60.85,0.0,4501.0
idle,1788874836.3640468,60.81,0.0,4501.0
active:batch0:size1,1788874836.464736,60.94,0.0,4521.0
active:batch0:size1,1788874836.5150676,60.94,0.0,4523.0
active:batch0:size1,1788874836.5655994,60.35,0.0,4601.0
active:batch0:size1,1788874836.6157665,60.35,0.0,4601.0
active:batch0:size1,1788874836.6662917,60.64,0.0,4623.0
active:batch0:size1,1788874836.7163727,60.64,6.0,4623.0
active:batch0:size1,1788874836.766777,60.64,6.0,4623.0
active:batch0:size1,1788874836.8171313,63.77,6.0,4625.0
active:batch0:size1,1788874836.8673894,63.77,6.0,4653.0
active:batch0:size1,1788874836.9176583,60.71,1.0,4653.0
active:batch0:size1,1788874836.9678516,60.5,1.0,4655.0
active:batch0:size1,1788874837.0181148,60.5,1.0,4701.0
active:batch0:size1,1788874837.0684245,62.58,1.0,4701.0
active:batch0:size1,1788874837.1186478,62.58,9.0,4701.0
active:batch0:size1,1788874837.2521284,61.81,9.0,4701.0
active:batch0:size1,1788874837.3072429,61.7,9.0,4705.0
active:batch5:size1,1788874837.6875367,61.7,1.0,4705.0
active:batch6:size1,1788874837.7377584,178.96,55.0,4705.0
active:batch7:size1,1788874837.7880805,178.96,55.0,4705.0
active:batch8:size1,1788874837.8885975,174.16,55.0,4705.0
active:batch9:size1,1788874837.9388626,131.02,54.0,4705.0
active:batch10:size1,1788874837.9889567,131.02,54.0,4705.0
active:batch11:size1,1788874838.0392506,166.58,54.0,4705.0
active:batch12:size1,1788874838.0895019,166.58,54.0,4705.0
active:batch13:size1,1788874838.521715,167.99,56.0,4705.0
active:batch13:size1,1788874838.5217612,63.46,56.0,4705.0
active:batch13:size1,1788874838.5217657,63.46,56.0,4705.0
active:batch13:size1,1788874838.5217679,61.6,56.0,4705.0
active:batch13:size1,1788874838.52177,61.6,22.0,4705.0
active:batch13:size1,1788874838.5217729,61.4,22.0,4705.0
active:batch13:size1,1788874838.5217748,61.4,22.0,4705.0
active:batch13:size1,1788874838.5418596,61.21,22.0,4705.0
active:batch14:size1,1788874838.592164,61.21,0.0,4705.0
active:batch15:size1,1788874838.6927638,176.36,0.0,4705.0
active:batch16:size1,1788874838.7430975,154.19,0.0,4705.0
active:batch17:size1,1788874838.7934144,154.19,41.0,4705.0
active:batch18:size1,1788874838.8874834,166.9,41.0,4705.0
active:batch19:size1,1788874838.9387152,166.9,41.0,4705.0
active:batch21:size1,1788874839.0298672,122.38,53.0,4705.0
active:batch26:size1,1788874839.380955,165.57,53.0,4705.0
active:batch27:size1,1788874839.4312522,165.57,52.0,4705.0
active:batch27:size1,1788874839.4815454,156.88,52.0,4705.0
active:batch28:size1,1788874839.531931,156.88,49.0,4705.0
active:batch29:size1,1788874839.5821598,156.88,49.0,4705.0
active:batch30:size1,1788874839.632544,161.74,49.0,4705.0
active:batch31:size1,1788874839.6830227,181.5,49.0,4705.0
active:batch32:size1,1788874839.7834153,181.5,56.0,4705.0
active:batch33:size1,1788874839.8337605,164.23,56.0,4705.0
active:batch34:size1,1788874839.884029,159.42,56.0,4705.0
active:batch35:size1,1788874839.9342568,159.42,56.0,4705.0
active:batch36:size1,1788874839.9846828,159.42,56.0,4705.0
active:batch36:size1,1788874840.034934,174.52,56.0,4705.0
active:batch37:size1,1788874840.085295,174.52,56.0,4705.0
active:batch38:size1,1788874840.1356103,173.37,55.0,4705.0
active:batch39:size1,1788874840.185882,173.37,55.0,4705.0
active:batch40:size1,1788874840.2362292,122.72,55.0,4705.0
active:batch41:size1,1788874840.336909,166.9,55.0,4705.0
active:batch42:size1,1788874840.3871636,166.9,55.0,4705.0
active:batch43:size1,1788874840.4375248,168.05,55.0,4705.0
active:batch43:size1,1788874840.487792,168.05,55.0,4705.0
active:batch45:size1,1788874840.5779636,168.05,50.0,4705.0
active:batch46:size1,1788874840.6308846,154.28,50.0,4705.0
active:batch53:size1,1788874841.0773284,183.52,55.0,4705.0
active:batch54:size1,1788874841.1276524,183.52,55.0,4705.0
active:batch55:size1,1788874841.1780393,122.28,58.0,4705.0
active:batch56:size1,1788874841.2785137,176.45,58.0,4705.0
active:batch57:size1,1788874841.3289247,176.45,56.0,4705.0
active:batch58:size1,1788874841.379144,190.28,56.0,4705.0
active:batch59:size1,1788874841.4295657,190.28,56.0,4705.0
active:batch59:size1,1788874841.4798481,176.98,56.0,4705.0
active:batch60:size1,1788874841.5301063,176.98,49.0,4705.0
active:batch61:size1,1788874841.5804565,153.55,49.0,4705.0
active:batch62:size1,1788874841.6307771,153.55,49.0,4705.0
active:batch63:size1,1788874841.7315013,180.98,55.0,4705.0
active:batch64:size1,1788874841.7815924,180.98,55.0,4705.0
active:batch65:size1,1788874841.8319142,173.79,55.0,4705.0
active:batch66:size1,1788874841.8822463,121.35,55.0,4705.0
active:batch67:size1,1788874841.9828002,121.35,54.0,4705.0
active:batch68:size1,1788874842.033094,175.38,54.0,4705.0
active:batch69:size1,1788874842.0833967,174.85,54.0,4705.0
active:batch70:size1,1788874842.1337047,174.85,57.0,4705.0
active:batch71:size1,1788874842.1839764,135.87,57.0,4705.0
active:batch72:size1,1788874842.2714427,135.87,57.0,4705.0
active:batch73:size1,1788874842.3277209,176.35,56.0,4705.0
active:batch74:size1,1788874842.3810961,176.35,56.0,4705.0
active:batch80:size1,1788874842.795771,192.69,56.0,4705.0
active:batch81:size1,1788874842.846549,172.59,56.0,4705.0
active:batch82:size1,1788874842.896686,172.59,54.0,4705.0
active:batch83:size1,1788874842.947126,157.4,54.0,4705.0
active:batch84:size1,1788874842.9973905,157.4,54.0,4705.0
active:batch85:size1,1788874843.0980268,168.45,54.0,4705.0
active:batch86:size1,1788874843.1483085,168.45,54.0,4705.0
active:batch87:size1,1788874843.1987627,157.35,55.0,4705.0
active:batch88:size1,1788874843.248984,157.35,55.0,4705.0
active:batch89:size1,1788874843.3496,176.9,55.0,4705.0
active:batch90:size1,1788874843.3999395,163.08,55.0,4705.0
active:batch91:size1,1788874843.450252,163.08,55.0,4705.0
active:batch92:size1,1788874843.500588,128.17,53.0,4705.0
active:batch93:size1,1788874843.6011791,174.24,53.0,4705.0
active:batch94:size1,1788874843.651547,174.24,53.0,4705.0
active:batch95:size1,1788874843.7017994,165.41,53.0,4705.0
active:batch96:size1,1788874843.7521925,165.41,56.0,4705.0
active:batch97:size1,1788874843.8025813,181.33,56.0,4705.0
active:batch97:size1,1788874843.8528628,181.33,56.0,4705.0
active:batch98:size1,1788874843.9031153,161.0,56.0,4705.0
active:batch99:size1,1788874843.9535942,161.0,56.0,4705.0
active:batch100:size1,1788874844.0039685,116.76,56.0,4705.0
active:batch101:size1,1788874844.0544038,116.76,55.0,4705.0
active:batch102:size1,1788874844.154936,171.96,55.0,4705.0
active:batch103:size1,1788874844.205227,183.88,55.0,4705.0
active:batch104:size1,1788874844.255493,183.88,55.0,4705.0
active:batch105:size1,1788874844.305681,147.01,55.0,4705.0
active:batch106:size1,1788874844.4061604,147.01,53.0,4705.0
active:batch107:size1,1788874844.4564707,171.16,53.0,4705.0
active:batch108:size1,1788874844.5068257,125.27,53.0,4705.0
active:batch109:size1,1788874844.5571845,125.27,52.0,4705.0
active:batch110:size1,1788874844.6578567,166.12,52.0,4705.0
active:batch111:size1,1788874844.7080302,176.51,52.0,4705.0
active:batch112:size1,1788874844.75827,176.51,57.0,4705.0
active:batch113:size1,1788874844.8084462,176.51,57.0,4705.0
active:batch114:size1,1788874844.9089696,171.58,57.0,4705.0
active:batch115:size1,1788874844.9592702,171.58,55.0,4705.0
active:batch116:size1,1788874845.009631,171.58,55.0,4705.0
active:batch117:size1,1788874845.0598028,158.24,55.0,4705.0
active:batch118:size1,1788874845.1156478,170.36,55.0,4705.0
active:batch120:size1,1788874845.2590382,173.35,55.0,4705.0
active:batch126:size1,1788874845.6137745,173.35,55.0,4705.0
active:batch127:size1,1788874845.6642847,170.1,55.0,4705.0
active:batch128:size1,1788874845.7648873,170.1,57.0,4705.0
active:batch129:size1,1788874845.8152363,176.99,55.0,4705.0
active:batch130:size1,1788874845.8654723,138.56,55.0,4705.0
active:batch131:size1,1788874845.9157228,138.56,55.0,4705.0
active:batch132:size1,1788874845.9659512,138.56,55.0,4705.0
active:batch132:size1,1788874846.0162501,167.39,54.0,4705.0
active:batch133:size1,1788874846.0665877,167.39,54.0,4705.0
active:batch134:size1,1788874846.1168442,184.83,54.0,4705.0
active:batch135:size1,1788874846.1671913,184.83,54.0,4705.0
active:batch136:size1,1788874846.2174625,134.05,58.0,4705.0
active:batch137:size1,1788874846.2678387,134.05,58.0,4705.0
active:batch137:size1,1788874846.317962,171.39,58.0,4705.0
active:batch138:size1,1788874846.3682408,171.39,58.0,4705.0
active:batch139:size1,1788874846.4185767,159.32,58.0,4705.0
active:batch140:size1,1788874846.4689689,159.32,56.0,4705.0
active:batch141:size1,1788874846.5191953,159.9,56.0,4705.0
active:batch142:size1,1788874846.619707,171.62,56.0,4705.0
active:batch143:size1,1788874846.6700985,171.62,54.0,4705.0
active:batch144:size1,1788874846.7203972,139.88,53.0,4705.0
active:batch145:size1,1788874846.7981153,139.88,53.0,4705.0
active:batch146:size1,1788874846.8523998,168.63,53.0,4705.0
active:batch148:size1,1788874846.9518042,192.27,58.0,4705.0
active:batch153:size1,1788874847.3048725,192.27,58.0,4705.0
active:batch154:size1,1788874847.3549745,177.88,58.0,4705.0
active:batch155:size1,1788874847.4052753,177.88,54.0,4705.0
active:batch156:size1,1788874847.4555762,177.88,54.0,4705.0
active:batch157:size1,1788874847.5561013,129.66,54.0,4705.0
active:batch158:size1,1788874847.6063275,165.99,52.0,4705.0
active:batch159:size1,1788874847.6566691,165.99,52.0,4705.0
active:batch160:size1,1788874847.7069545,175.92,52.0,4705.0
active:batch161:size1,1788874847.807602,173.04,56.0,4705.0
active:batch162:size1,1788874847.8580058,173.04,56.0,4705.0
active:batch163:size1,1788874847.9082205,158.24,56.0,4705.0
active:batch164:size1,1788874847.9585676,158.24,56.0,4705.0
active:batch165:size1,1788874848.0088842,127.83,55.0,4705.0
active:batch166:size1,1788874848.1095684,177.37,55.0,4705.0
active:batch167:size1,1788874848.1598055,177.37,55.0,4705.0
active:batch168:size1,1788874848.2100732,180.56,56.0,4705.0
active:batch169:size1,1788874848.2602499,180.56,56.0,4705.0
active:batch170:size1,1788874848.310564,136.62,56.0,4705.0
active:batch171:size1,1788874848.4110632,168.83,57.0,4705.0
active:batch172:size1,1788874848.461334,168.83,57.0,4705.0
active:batch173:size1,1788874848.5114944,186.78,57.0,4705.0
active:batch174:size1,1788874848.5616724,186.78,57.0,4705.0
active:batch174:size1,1788874848.612001,133.82,57.0,4705.0
active:batch175:size1,1788874848.6622972,133.82,55.0,4705.0
active:batch176:size1,1788874848.7125711,172.83,55.0,4705.0
active:batch177:size1,1788874848.7629526,172.83,55.0,4705.0
active:batch178:size1,1788874848.8133438,182.65,55.0,4705.0
active:batch179:size1,1788874848.8636625,182.65,56.0,4705.0
active:batch179:size1,1788874848.9139683,182.65,56.0,4705.0
active:batch180:size1,1788874848.964184,175.6,56.0,4705.0
active:batch181:size1,1788874849.0144203,167.12,56.0,4705.0
active:batch182:size1,1788874849.064663,167.12,55.0,4705.0
active:batch183:size1,1788874849.114935,167.12,55.0,4705.0
active:batch184:size1,1788874849.2156067,174.03,56.0,4705.0
active:batch185:size1,1788874849.2658212,174.03,56.0,4705.0
active:batch186:size1,1788874849.3161273,174.03,56.0,4705.0
active:batch187:size1,1788874849.3663898,170.16,57.0,4705.0
active:batch188:size1,1788874849.4166439,170.16,57.0,4705.0
active:batch189:size1,1788874849.5171568,170.39,57.0,4705.0
active:batch191:size1,1788874849.6175175,163.32,56.0,4705.0
active:batch192:size1,1788874849.6724606,161.5,56.0,4705.0
active:batch193:size1,1788874849.7631462,139.87,56.0,4705.0
active:batch199:size1,1788874850.1436899,139.87,51.0,4705.0
active:batch200:size1,1788874850.1938887,143.55,51.0,4705.0
active:batch201:size1,1788874850.244193,143.55,55.0,4705.0
active:batch202:size1,1788874850.294438,143.55,55.0,4705.0
active:batch203:size1,1788874850.3951173,192.61,55.0,4705.0
active:batch204:size1,1788874850.4454072,192.61,56.0,4705.0
active:batch205:size1,1788874850.495583,192.61,56.0,4705.0
active:batch206:size1,1788874850.5458436,135.0,56.0,4705.0
active:batch207:size1,1788874850.5961332,135.0,56.0,4705.0
active:batch207:size1,1788874850.646415,161.8,55.0,4705.0
active:batch208:size1,1788874850.6967955,161.8,55.0,4705.0
active:batch209:size1,1788874850.7470925,168.44,55.0,4705.0
active:batch210:size1,1788874850.79743,168.44,55.0,4705.0
active:batch211:size1,1788874850.8477693,179.52,56.0,4705.0
active:batch212:size1,1788874850.9482734,162.25,56.0,4705.0
active:batch213:size1,1788874850.9985695,162.25,56.0,4705.0
