phase,host_time_unix,watts,utilization_percent,memory_used_mib
idle,1788791280.0547175,67.09,13.0,6597.0
idle,1788791280.1049604,67.09,13.0,6597.0
idle,1788791280.1552048,67.09,13.0,6597.0
idle,1788791280.2053967,64.32,13.0,6597.0
idle,1788791280.2555172,64.32,0.0,6597.0
idle,1788791280.3056922,64.56,0.0,6597.0
idle,1788791280.3560631,64.56,0.0,6597.0
idle,1788791280.406328,64.56,0.0,6597.0
idle,1788791280.4565434,63.54,0.0,6597.0
idle,1788791280.5067167,63.47,0.0,6597.0
idle,1788791280.5568752,63.47,0.0,6597.0
idle,1788791280.607009,63.47,0.0,6597.0
idle,1788791280.657197,63.54,0.0,6597.0
idle,1788791280.7073057,63.68,0.0,6597.0
idle,1788791280.7574503,63.68,0.0,6597.0
idle,1788791280.8077073,63.68,0.0,6597.0
idle,1788791280.8578577,63.23,0.0,6597.0
idle,1788791280.9079762,63.15,0.0,6597.0
idle,1788791280.9579928,63.15,0.0,6597.0
idle,1788791281.0082672,63.15,0.0,6597.0
idle,1788791281.058462,63.23,0.0,6597.0
idle,1788791281.1086028,63.23,0.0,6597.0
idle,1788791281.1998034,63.24,0.0,6597.0
idle,1788791281.250668,66.01,0.0,6597.0
idle,1788791281.3404636,62.84,0.0,6597.0
idle,1788791281.5911958,62.84,0.0,6597.0
idle,1788791281.6415033,62.84,0.0,6597.0
idle,1788791281.6919153,62.74,0.0,6597.0
idle,1788791281.7422638,62.74,0.0,6597.0
idle,1788791281.7926369,62.74,0.0,6597.0
active:b16:trial0,1788791281.8429475,62.74,0.0,6597.0
active:b16:trial0,1788791281.893313,126.28,0.0,6597.0
active:b16:trial0,1788791281.9436743,126.28,0.0,6597.0
active:b16:trial0,1788791281.993845,257.75,0.0,6597.0
active:b16:trial0,1788791282.0441937,257.75,0.0,6597.0
active:b16:trial0,1788791282.09457,241.51,74.0,6597.0
active:b16:trial0,1788791282.1449292,241.51,74.0,6597.0
active:b16:trial0,1788791282.1952128,264.12,74.0,6597.0
active:b16:trial0,1788791282.2456021,264.12,74.0,6597.0
active:b16:trial1,1788791282.2959373,264.12,74.0,6597.0
active:b16:trial1,1788791282.3462794,167.76,93.0,6597.0
active:b16:trial1,1788791282.3966246,256.55,93.0,6597.0
