batch_index,batch_size_videos,model_boundary_cuda_ms,preprocessing_ms,host_to_device_ms,component_sum_decode_processor_transfer_model_ms,vision_block0_input_shape,language_block0_input_shape
0,2,370.46478271484375,814.2342567443848,18.15902441740036,1202.8580638766289,"[3136, 1024]","[2, 446, 2048]"
1,2,60.54399871826172,849.0027859807014,8.987918496131897,918.5347031950951,"[3136, 1024]","[2, 446, 2048]"
2,2,60.32179260253906,834.3878164887428,8.818425238132477,903.5280343294144,"[3136, 1024]","[2, 446, 2048]"
3,2,61.2044792175293,850.6339192390442,9.172409772872925,921.0108082294464,"[3136, 1024]","[2, 446, 2048]"
4,2,61.33350372314453,826.0594755411148,9.654350578784943,897.0473298430443,"[3136, 1024]","[2, 446, 2048]"
5,2,60.695552825927734,1027.0517989993095,9.29248332977295,1097.0398351550102,"[3136, 1024]","[2, 446, 2048]"
6,2,60.10163116455078,743.1840300559998,9.5362588763237,812.8219200968742,"[3136, 1024]","[2, 446, 2048]"
7,2,60.82662582397461,1006.7510977387428,9.239144623279572,1076.816868185997,"[3136, 1024]","[2, 446, 2048]"
8,2,60.8798713684082,1021.3881134986877,9.350650012493134,1091.618634879589,"[3136, 1024]","[2, 446, 2048]"
9,2,61.432830810546875,754.9481466412544,9.85410064458847,826.2350780963898,"[3136, 1024]","[2, 446, 2048]"
10,2,61.3939208984375,774.3843793869019,10.266639292240143,846.0449395775795,"[3136, 1024]","[2, 446, 2048]"
11,2,61.2567024230957,783.5463061928749,9.627826511859894,854.4308351278305,"[3136, 1024]","[2, 446, 2048]"
12,2,60.91468811035156,1087.7541899681091,9.51443612575531,1158.183314204216,"[3136, 1024]","[2, 446, 2048]"
13,2,60.84812927246094,807.8883215785027,9.734578430652618,878.4710292816162,"[3136, 1024]","[2, 446, 2048]"
14,2,61.51679992675781,854.5048981904984,10.172151029109955,926.1938491463661,"[3136, 1024]","[2, 446, 2048]"
15,2,61.55571365356445,952.8247639536858,10.48286259174347,1024.8633401989937,"[3136, 1024]","[2, 446, 2048]"
16,2,60.909568786621094,1252.9868111014366,10.216206312179565,1324.1125862002373,"[3136, 1024]","[2, 446, 2048]"
17,2,60.94131088256836,715.5037000775337,10.653585195541382,787.0985961556435,"[3136, 1024]","[2, 446, 2048]"
18,2,60.881919860839844,842.6083847880363,11.070460081100464,914.5607647299767,"[3136, 1024]","[2, 446, 2048]"
19,2,61.32940673828125,807.6291084289551,10.697253048419952,879.6557682156563,"[3136, 1024]","[2, 446, 2048]"
20,2,60.24806213378906,1135.026715695858,10.599732398986816,1205.8745102286339,"[3136, 1024]","[2, 446, 2048]"
21,2,60.40371322631836,749.3482083082199,10.918371379375458,820.6702929139137,"[3136, 1024]","[2, 446, 2048]"
22,2,60.69862365722656,1036.139376461506,10.499604046344757,1107.3376041650772,"[3136, 1024]","[2, 446, 2048]"
23,2,61.079551696777344,980.7185605168343,10.821148753166199,1052.6192609667778,"[3136, 1024]","[2, 446, 2048]"
24,2,60.30131149291992,1317.0786947011948,9.385377168655396,1386.76538336277,"[3136, 1024]","[2, 446, 2048]"
25,2,60.44160079956055,858.4315702319145,9.768635034561157,928.6418060660362,"[3136, 1024]","[2, 446, 2048]"
26,2,60.67814254760742,939.7227317094803,9.393297135829926,1009.7941713929176,"[3136, 1024]","[2, 446, 2048]"
27,2,61.658111572265625,955.3236812353134,10.681189596652985,1027.662982404232,"[3136, 1024]","[2, 446, 2048]"
28,2,60.93312072753906,1033.310927450657,10.53367555141449,1104.7777237296104,"[3136, 1024]","[2, 446, 2048]"
29,2,60.78156661987305,994.6070984005928,9.987369179725647,1065.3760342001915,"[3136, 1024]","[2, 446, 2048]"
30,2,60.68735885620117,861.4066392183304,10.358355939388275,932.4523540139198,"[3136, 1024]","[2, 446, 2048]"
31,2,62.267391204833984,886.7130428552628,11.0703706741333,960.05080473423,"[3136, 1024]","[2, 446, 2048]"
32,2,60.980224609375,787.9936471581459,11.277735233306885,860.2516070008278,"[3136, 1024]","[2, 446, 2048]"
33,2,60.402687072753906,953.9740160107613,10.805852711200714,1025.1825557947159,"[3136, 1024]","[2, 446, 2048]"
34,2,60.67302322387695,816.0311952233315,10.90676337480545,887.6109818220139,"[3136, 1024]","[2, 446, 2048]"
35,2,62.09126281738281,998.3978271484375,10.670788586139679,1071.15987855196,"[3136, 1024]","[2, 446, 2048]"
36,2,60.532737731933594,703.0301541090012,10.484330356121063,774.0472221970558,"[3136, 1024]","[2, 446, 2048]"
