phase,host_time_unix,watts,utilization_percent,memory_used_mib
active:batch61:size2,1788855236.603188,178.21,74.0,4883.0
active:batch62:size2,1788855236.653548,178.21,74.0,4883.0
active:batch63:size2,1788855236.7038822,234.93,74.0,4883.0
active:batch63:size2,1788855236.754206,245.1,74.0,4883.0
active:batch64:size2,1788855236.8045857,245.1,75.0,4883.0
active:batch65:size2,1788855236.854901,245.1,75.0,4883.0
active:batch65:size2,1788855236.9052377,140.84,75.0,4883.0
active:batch66:size2,1788855236.9555206,236.76,75.0,4883.0
active:batch67:size2,1788855237.00583,236.76,73.0,4883.0
active:batch68:size2,1788855237.1046715,237.62,77.0,4883.0
active:batch69:size2,1788855237.1559181,237.62,77.0,4883.0
active:batch70:size2,1788855237.2457387,150.83,77.0,4883.0
active:batch75:size2,1788855237.6205606,150.83,77.0,4883.0
active:batch75:size2,1788855237.6709075,237.53,74.0,4883.0
active:batch76:size2,1788855237.7212465,237.53,74.0,4883.0
active:batch77:size2,1788855237.7715662,187.4,78.0,4883.0
active:batch77:size2,1788855237.8218906,187.4,78.0,4883.0
active:batch78:size2,1788855237.872217,223.47,78.0,4883.0
active:batch79:size2,1788855237.9225585,223.47,78.0,4883.0
active:batch79:size2,1788855237.9728856,230.21,72.0,4883.0
active:batch80:size2,1788855238.023207,230.21,72.0,4883.0
active:batch81:size2,1788855238.0735543,231.9,72.0,4883.0
active:batch81:size2,1788855238.123886,231.9,72.0,4883.0
active:batch82:size2,1788855238.1740313,182.8,72.0,4883.0
active:batch83:size2,1788855238.2747562,221.1,72.0,4883.0
active:batch84:size2,1788855238.325074,221.1,72.0,4883.0
active:batch85:size2,1788855238.4257598,262.4,76.0,4883.0
active:batch86:size2,1788855238.4761121,136.94,76.0,4883.0
active:batch86:size2,1788855238.5264227,136.94,70.0,4883.0
active:batch87:size2,1788855238.5767639,237.12,70.0,4883.0
active:batch88:size2,1788855238.627106,237.12,70.0,4883.0
active:batch88:size2,1788855238.677481,227.37,70.0,4883.0
active:batch89:size2,1788855238.7280796,227.37,70.0,4883.0
active:batch90:size2,1788855238.8212025,218.34,75.0,4883.0
active:batch91:size2,1788855238.8717406,183.45,75.0,4883.0
active:batch92:size2,1788855238.9722807,183.45,70.0,4883.0
active:batch97:size2,1788855239.3341851,227.54,70.0,4883.0
active:batch97:size2,1788855239.3845072,227.54,70.0,4883.0
active:batch98:size2,1788855239.4343922,262.89,70.0,4883.0
active:batch99:size2,1788855239.5345826,157.99,71.0,4883.0
active:batch100:size2,1788855239.5847256,157.99,71.0,4883.0
active:batch101:size2,1788855239.6849368,242.36,71.0,4883.0
active:batch102:size2,1788855239.7350428,245.57,75.0,4883.0
active:batch103:size2,1788855239.8354974,142.85,75.0,4883.0
active:batch104:size2,1788855239.8853943,142.85,75.0,4883.0
active:batch104:size2,1788855239.9354706,142.85,75.0,4883.0
active:batch105:size2,1788855239.9856188,230.29,72.0,4883.0
active:batch106:size2,1788855240.0357382,230.77,72.0,4883.0
active:batch106:size2,1788855240.085808,230.77,72.0,4883.0
active:batch107:size2,1788855240.135936,191.05,72.0,4883.0
active:batch108:size2,1788855240.186093,191.05,77.0,4883.0
active:batch108:size2,1788855240.2360566,188.12,77.0,4883.0
active:batch109:size2,1788855240.2861829,188.12,77.0,4883.0
active:batch110:size2,1788855240.386441,236.42,69.0,4883.0
active:batch111:size2,1788855240.4369462,222.4,69.0,4883.0
active:batch112:size2,1788855240.5693765,179.0,74.0,4883.0
active:batch113:size2,1788855240.6426804,179.0,74.0,4883.0
active:batch114:size2,1788855240.6942792,191.72,74.0,4883.0
active:batch119:size2,1788855241.1054914,238.57,73.0,4883.0
active:batch120:size2,1788855241.1558032,238.57,73.0,4883.0
active:batch121:size2,1788855241.2564516,235.86,73.0,4883.0
active:batch122:size2,1788855241.3067753,235.86,73.0,4883.0
active:batch123:size2,1788855241.4074512,227.42,72.0,4883.0
active:batch124:size2,1788855241.4577227,227.42,72.0,4883.0
active:batch124:size2,1788855241.508105,227.42,72.0,4883.0
active:batch125:size2,1788855241.5584311,222.33,77.0,4883.0
active:batch126:size2,1788855241.6087055,222.33,77.0,4883.0
active:batch126:size2,1788855241.659065,183.16,77.0,4883.0
active:batch127:size2,1788855241.7095065,183.16,77.0,4883.0
active:batch128:size2,1788855241.7598128,219.73,72.0,4883.0
active:batch128:size2,1788855241.8100255,219.73,72.0,4883.0
active:batch129:size2,1788855241.8603044,219.73,72.0,4883.0
active:batch130:size2,1788855241.9105647,219.73,72.0,4883.0
active:batch130:size2,1788855241.9609845,263.67,75.0,4883.0
active:batch131:size2,1788855242.0113666,263.67,75.0,4883.0
active:batch132:size2,1788855242.061602,213.95,75.0,4883.0
active:batch132:size2,1788855242.112103,213.95,75.0,4883.0
active:batch133:size2,1788855242.1621563,213.95,78.0,4883.0
active:batch134:size2,1788855242.244308,176.35,78.0,4883.0
active:batch135:size2,1788855242.3405252,241.31,72.0,4883.0
active:batch136:size2,1788855242.390828,241.31,72.0,4883.0
active:batch141:size2,1788855242.7560542,241.31,72.0,4883.0
active:batch141:size2,1788855242.8064075,241.65,73.0,4883.0
active:batch142:size2,1788855242.856574,241.65,73.0,4883.0
active:batch143:size2,1788855242.9069877,171.13,73.0,4883.0
active:batch143:size2,1788855242.9573746,171.13,73.0,4883.0
active:batch144:size2,1788855243.0076408,230.3,73.0,4883.0
active:batch145:size2,1788855243.0579271,230.3,73.0,4883.0
active:batch145:size2,1788855243.1081824,230.8,73.0,4883.0
active:batch146:size2,1788855243.158502,230.8,78.0,4883.0
active:batch147:size2,1788855243.2087753,187.63,78.0,4883.0
active:batch147:size2,1788855243.2590322,187.63,78.0,4883.0
active:batch148:size2,1788855243.3093786,223.89,78.0,4883.0
active:batch149:size2,1788855243.3595817,223.89,73.0,4883.0
active:batch149:size2,1788855243.4098225,218.73,73.0,4883.0
active:batch150:size2,1788855243.4601858,218.73,73.0,4883.0
active:batch151:size2,1788855243.5608335,214.04,72.0,4883.0
active:batch152:size2,1788855243.6111434,198.74,72.0,4883.0
active:batch153:size2,1788855243.711948,198.74,72.0,4883.0
