source_optics/target_data,eurosat,clevr,speech,physical
eurosat,0.8071756722184252,0.5013555555555556,0.3578224792029274,0.2875222409749202
clevr,0.19748825944565634,0.7676000000000001,0.2428189224570724,0.10039630118890357
speech,0.4711377231631454,0.4998222222222222,0.7433348523449197,0.2754118282649522
physical,0.276035572940526,0.5010444444444444,0.295811723620723,0.7930060133536457
