body_regime,task,metric,method,seed,value,body_init_seed,notes
no_imagenet_body,isic2016,miou,fa_source,2027,0.821607109228036,2026,Source-init feedback from the same random body
no_imagenet_body,isic2016,miou,fa_source,2028,0.819849105802485,2026,Source-init feedback from the same random body
no_imagenet_body,isic2016,miou,fa_random,2026,0.7858786777977765,2026,Frozen pretrained Qwen stem retained
no_imagenet_body,isic2016,miou,fa_random,2027,0.771849774692876,2026,Frozen pretrained Qwen stem retained
no_imagenet_body,isic2016,miou,fa_random,2028,0.7651181184910336,2026,Frozen pretrained Qwen stem retained
no_imagenet_body,lsp,pck_torso_0p2,noft,2026,0.31357142857142856,2026,Frozen pretrained Qwen stem retained
no_imagenet_body,lsp,pck_torso_0p2,noft,2027,0.305,2026,Frozen pretrained Qwen stem retained
no_imagenet_body,lsp,pck_torso_0p2,noft,2028,0.31707142857142856,2026,Frozen pretrained Qwen stem retained
no_imagenet_body,lsp,pck_torso_0p2,bp_current,2026,0.477,2026,Frozen pretrained Qwen stem retained
no_imagenet_body,lsp,pck_torso_0p2,bp_current,2027,0.4732142857142857,2026,Frozen pretrained Qwen stem retained
no_imagenet_body,lsp,pck_torso_0p2,bp_current,2028,0.4694285714285714,2026,Frozen pretrained Qwen stem retained
no_imagenet_body,lsp,pck_torso_0p2,fa_source,2026,0.48064285714285715,2026,Source-init feedback from the same random body
no_imagenet_body,lsp,pck_torso_0p2,fa_source,2027,0.46985714285714286,2026,Source-init feedback from the same random body
no_imagenet_body,lsp,pck_torso_0p2,fa_source,2028,0.47,2026,Source-init feedback from the same random body
no_imagenet_body,lsp,pck_torso_0p2,fa_random,2026,0.4032857142857143,2026,Frozen pretrained Qwen stem retained
no_imagenet_body,lsp,pck_torso_0p2,fa_random,2027,0.4147142857142857,2026,Frozen pretrained Qwen stem retained
no_imagenet_body,lsp,pck_torso_0p2,fa_random,2028,0.3935,2026,Frozen pretrained Qwen stem retained
