task_id,task,metric,ours_performance,qwen_performance,workload,test_samples,qwen_latency_mean_ms,qwen_latency_median_ms,qwen_latency_p95_ms,qwen_active_power_mean_w,qwen_active_power_peak_w,qwen_energy_measured_j,qwen_energy_idle_subtracted_j,qwen_energy_rated_upper_j,qwen_energy_power_basis,ours_latency_ms,ours_physical_time_ms,ours_serial_electronic_ms,ours_energy_proxy_j,speedup_qwen_over_ours,energy_ratio_measured_qwen_over_ours,energy_ratio_rated_upper_qwen_over_ours
T06-temporal,LGVQ temporal quality,SRCC,0.8044,0.7688444800414204,16 videos × 4 frames,558,405.3076629638672,397.07188415527344,398.77331085205077,238.18172043010753,274.62,96.53687646824007,70.63433924099091,101.3269157409668,batch16 steady-compute active mean from sweep,20.3822885,7.884,12.498288500000001,1.6384914079380002,19.88528731520345,58.91814629026909,61.84159114296739
T06-spatial,LGVQ spatial quality,SRCC,0.6393237619075796,0.6907725734336255,1 video × 4 frames,558,74.43764681115373,75.32083129882812,78.3602195739746,83.85514840182648,182.0,6.241979920032041,1.7174922621447932,18.60941170278843,model-active board-power samples,11.558334,7.884,3.674334,0.9291513535920001,6.440170946016417,6.717936637450091,20.02839648335702
T08,ABO image-to-title retrieval,R@1,0.7983333333333333,0.7358333333333333,1 image query × 100 fixed titles,2400,43.963330574035645,42.09868812561035,57.06030120849608,86.25726744186046,103.7,3.792156762959513,1.0865038019890456,10.990832643508911,model-active board-power samples,10.1754115,7.884,2.2914114999999997,0.817980979662,4.320545716901537,4.6359962606055705,13.436538155264271
T07,ABO similarity-10 image-to-image retrieval,R@1,,0.9520833333333333,1 image query × 120 train-product centroids,480,49.17415945053101,46.15731239318848,68.92723007202149,82.9602383419689,101.11,4.079499988282035,1.0566316876732178,12.293539862632752,model-active board-power samples,,,,,,,
T02,LSP keypoint detection,PCK@0.2,0.5773,0.7225714285714285,1 image,1000,18.015795187950133,17.009663581848145,25.41752338409424,80.61964285714286,87.83,1.4524269738399729,0.3235249113203724,4.503948796987533,model-active board-power samples,6.2587375000000005,3.942,2.3167375000000003,0.5031273901500001,2.8785030827623195,2.886797662530265,8.951905392478725
T03,SALICON saliency,CC,0.8291,0.8810337488174439,1 image,5000,19.14109441757202,19.75347137451172,25.645874977111816,81.0532584269663,93.3,1.5514480724024267,0.22036164268568587,4.785273604393005,model-active board-power samples,6.309113,3.942,2.3671130000000002,0.507176975844,3.0338804230597898,3.0589875847984644,9.435116009416175
