phase,host_time_unix,watts,utilization_percent,memory_used_mib
active:batch51:size2,1788874995.6955452,167.7,71.0,4883.0
active:batch52:size2,1788874995.7960358,176.44,71.0,4883.0
active:batch53:size2,1788874995.846271,241.45,71.0,4883.0
active:batch53:size2,1788874995.8964417,241.45,71.0,4883.0
active:batch54:size2,1788874995.9466305,241.45,71.0,4883.0
active:batch55:size2,1788874996.047256,211.2,71.0,4883.0
active:batch56:size2,1788874996.0974793,211.2,68.0,4883.0
active:batch56:size2,1788874996.147769,211.2,68.0,4883.0
active:batch57:size2,1788874996.1980197,116.61,68.0,4883.0
active:batch58:size2,1788874996.29884,234.54,73.0,4883.0
active:batch59:size2,1788874996.3862412,205.75,73.0,4883.0
active:batch60:size2,1788874996.439287,205.75,73.0,4883.0
active:batch61:size2,1788874996.500806,260.18,66.0,4883.0
active:batch66:size2,1788874996.8981943,126.04,66.0,4883.0
active:batch66:size2,1788874996.9484377,126.04,67.0,4883.0
active:batch67:size2,1788874996.998549,126.04,67.0,4883.0
active:batch68:size2,1788874997.0988934,210.31,67.0,4883.0
active:batch69:size2,1788874997.14904,211.39,73.0,4883.0
active:batch69:size2,1788874997.199186,211.39,73.0,4883.0
active:batch70:size2,1788874997.2493513,211.39,73.0,4883.0
active:batch71:size2,1788874997.2996006,211.39,73.0,4883.0
active:batch71:size2,1788874997.3496869,137.71,69.0,4883.0
active:batch72:size2,1788874997.3998945,137.71,69.0,4883.0
active:batch73:size2,1788874997.5002298,226.48,69.0,4883.0
active:batch74:size2,1788874997.550368,226.74,75.0,4883.0
active:batch75:size2,1788874997.650972,265.79,75.0,4883.0
active:batch76:size2,1788874997.70112,265.79,75.0,4883.0
active:batch76:size2,1788874997.7513244,157.29,75.0,4883.0
active:batch77:size2,1788874997.8013911,157.29,69.0,4883.0
active:batch78:size2,1788874997.9018948,219.41,72.0,4883.0
active:batch79:size2,1788874997.952223,219.31,72.0,4883.0
active:batch79:size2,1788874998.002537,219.31,72.0,4883.0
active:batch81:size2,1788874998.1469088,138.83,72.0,4883.0
active:batch82:size2,1788874998.2372074,138.83,67.0,4883.0
active:batch87:size2,1788874998.6055102,243.55,67.0,4883.0
active:batch88:size2,1788874998.6557941,243.55,72.0,4883.0
active:batch88:size2,1788874998.706004,211.1,72.0,4883.0
active:batch89:size2,1788874998.7563882,211.1,71.0,4883.0
active:batch90:size2,1788874998.80669,211.1,71.0,4883.0
active:batch90:size2,1788874998.85688,131.77,71.0,4883.0
active:batch91:size2,1788874998.9070606,131.77,71.0,4883.0
active:batch92:size2,1788874999.0075018,131.77,74.0,4883.0
active:batch93:size2,1788874999.0579193,230.68,74.0,4883.0
active:batch94:size2,1788874999.1584976,230.68,69.0,4883.0
active:batch95:size2,1788874999.2088122,230.68,69.0,4883.0
active:batch95:size2,1788874999.258969,170.42,69.0,4883.0
active:batch96:size2,1788874999.309338,170.42,69.0,4883.0
active:batch96:size2,1788874999.3595505,195.54,74.0,4883.0
active:batch97:size2,1788874999.4097168,195.54,74.0,4883.0
active:batch98:size2,1788874999.4599917,242.59,74.0,4883.0
active:batch98:size2,1788874999.5101604,242.59,74.0,4883.0
active:batch99:size2,1788874999.560366,246.27,64.0,4883.0
active:batch100:size2,1788874999.6606908,167.78,64.0,4883.0
active:batch101:size2,1788874999.7610781,113.46,70.0,4883.0
active:batch102:size2,1788874999.811254,113.46,70.0,4883.0
active:batch103:size2,1788874999.9116147,227.91,70.0,4883.0
active:batch104:size2,1788874999.9619262,214.56,70.0,4883.0
active:batch104:size2,1788875000.0120533,214.56,70.0,4883.0
active:batch105:size2,1788875000.062213,262.35,70.0,4883.0
active:batch106:size2,1788875000.1125112,262.35,70.0,4883.0
active:batch106:size2,1788875000.1626434,156.01,70.0,4883.0
active:batch107:size2,1788875000.2127335,156.01,68.0,4883.0
active:batch108:size2,1788875000.3131957,209.97,71.0,4883.0
active:batch109:size2,1788875000.3634098,209.23,71.0,4883.0
active:batch109:size2,1788875000.4135647,209.23,71.0,4883.0
active:batch110:size2,1788875000.4637868,209.23,71.0,4883.0
active:batch111:size2,1788875000.5140202,249.2,70.0,4883.0
active:batch111:size2,1788875000.5641758,152.34,70.0,4883.0
active:batch112:size2,1788875000.614495,152.34,70.0,4883.0
active:batch113:size2,1788875000.714978,152.34,70.0,4883.0
active:batch114:size2,1788875000.765361,247.78,70.0,4883.0
active:batch114:size2,1788875000.815599,247.78,73.0,4883.0
active:batch115:size2,1788875000.909943,254.37,73.0,4883.0
active:batch116:size2,1788875000.9645925,139.15,73.0,4883.0
active:batch117:size2,1788875001.0175445,139.15,65.0,4883.0
active:batch117:size2,1788875001.0719988,211.47,65.0,4883.0
active:batch122:size2,1788875001.4361348,211.47,65.0,4883.0
active:batch123:size2,1788875001.537543,207.85,76.0,4883.0
active:batch124:size2,1788875001.587773,207.85,76.0,4883.0
active:batch125:size2,1788875001.6881278,207.51,76.0,4883.0
active:batch126:size2,1788875001.7382684,261.17,69.0,4883.0
active:batch126:size2,1788875001.7885885,261.17,69.0,4883.0
active:batch127:size2,1788875001.8389459,139.36,69.0,4883.0
active:batch128:size2,1788875001.8893008,139.36,69.0,4883.0
active:batch128:size2,1788875001.939657,222.06,69.0,4883.0
active:batch129:size2,1788875001.9899113,222.06,73.0,4883.0
active:batch130:size2,1788875002.0906134,266.77,73.0,4883.0
active:batch131:size2,1788875002.1407976,266.77,73.0,4883.0
active:batch132:size2,1788875002.2415664,179.6,71.0,4883.0
active:batch133:size2,1788875002.2917507,179.6,71.0,4883.0
active:batch134:size2,1788875002.392339,249.22,73.0,4883.0
active:batch135:size2,1788875002.4426935,249.22,73.0,4883.0
active:batch135:size2,1788875002.4930396,249.22,73.0,4883.0
active:batch136:size2,1788875002.5433934,246.8,73.0,4883.0
active:batch137:size2,1788875002.6262636,246.8,74.0,4883.0
active:batch138:size2,1788875002.678693,246.07,74.0,4883.0
active:batch144:size2,1788875003.1905725,232.36,73.0,4883.0
active:batch145:size2,1788875003.240917,232.36,64.0,4883.0
active:batch145:size2,1788875003.2911215,232.36,64.0,4883.0
active:batch146:size2,1788875003.3412645,121.23,71.0,4883.0
active:batch147:size2,1788875003.3917892,121.23,71.0,4883.0
active:batch147:size2,1788875003.4420035,239.1,71.0,4883.0
active:batch148:size2,1788875003.4921417,239.1,71.0,4883.0
active:batch149:size2,1788875003.592763,237.87,72.0,4883.0
active:batch150:size2,1788875003.6430194,169.39,72.0,4883.0
active:batch151:size2,1788875003.7438178,220.39,76.0,4883.0
active:batch152:size2,1788875003.7940626,220.39,76.0,4883.0
active:batch153:size2,1788875003.894676,224.19,76.0,4883.0
active:batch154:size2,1788875003.9450288,248.78,76.0,4883.0
