"path","status","local_sha256","server_sha256"
"document/18_vision2_hybrid_dense_tasks/visualization_gallery_20260818/scripts/build_visual_gallery.py","server_only",,"9e519a2ba04d21d1bb244def71ff0d3d6c6cd8bef274e5ec0892625f71b2e046"
"document/19_qwen_four_stage_architecture_comparison/README.md","local_only","00b3ad273f874f7afac4b6c1f4871cc2066f044884aee405f2b310443fb11976",
"document/19_qwen_four_stage_architecture_comparison/SISTER_INFERENCE_DATAFLOW.md","local_only","56cc1cd7061dab045aaa4fe2525beab3e493170299a710ceae22ef8b1c5afda7",
"document/19_qwen_four_stage_architecture_comparison/SOURCE_AUDIT.md","local_only","84359b42ea6de9e75cd72f620ddae0a3b35e1a2f0d57c548fe9a0cf592649f5a",
"document/19_qwen_four_stage_architecture_comparison/WARMSTART5_COMPLETE_DATAFLOW.md","local_only","74344f022b0d40d85c37ae0c48d7ce4080e28fcb77096215996363b9185a581d",
"document/FIGURE_CAPTIONS.md","local_only","4bcd5a0bab97ff5fd1f70292fd2ad24269aea44b3bf8580dad21876ef18bfadb",
"document/FIGURE_POLICY.md","local_only","c25625be47958c18c0eb8bc98bcd714518fe44e47b0da199386248c76b2f6803",
"document/NATURE_FIGURE_V2_QA.md","local_only","62491bd548029856fc2d447588e6b2de3cab130bb917bd8e42c2c48e8c1e7f9a",
"document/PAPER_EXPERIMENT_PLAN.md","local_only","1daa1cf9e11b06bf94a164b474af5871e15946cecad6a2ffaf7cb453ba133354",
"document/plot_nature_figure_v2.py","local_only","321f6378c0fcc476f4ace44a5ce303296abb13980b66c10f777c3ddc205d1df3",
"document/plot_nature_figures.py","local_only","d98d66d7959ced7f60def28293f8f4c9f0e306a54249c6eb02b596facffd9b49",
"experiments/__init__.py","content_diff","bd6d222317a51523647d0112d34718339aebc538392123a5ce3b66463493848d","cc3c57df4784a977806b5bc0ed8cb9911ab3e423333ddafe05da5cdde6eebe80"
"experiments/d2nn_cifar10_high_performance_optical_backbone/__init__.py","server_only",,"9e901d6e6ea7ad418b6e43658490a81c524923ebdada597c9d0f720fce7d7b0d"
"experiments/d2nn_cifar10_high_performance_optical_backbone/__main__.py","server_only",,"2cb3f6b1ebbe2c5f4d733b62bb156f4170e0bf9beb6088c056cf1defcdb92d46"
"experiments/d2nn_cifar10_high_performance_optical_backbone/ARCHITECTURE.md","server_only",,"4d9d65ee690d724443a45aa6bdb87c337b59dfa14aa04d8eab3fc649a2a5d474"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/_common.sh","server_only",,"59c77d31a1ee2ed4b0a2736772ddd0bd1562261030cef7f1541ab7db977f7ae6"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/01_prepare_data.sh","server_only",,"9bf18a2ef7ec78b3bf0f2e166a16c9b74af77b5e0d697343a31fe627b0d2e62e"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/02_smoke_test.sh","server_only",,"3c759d027eb3cac11c082b5c320c43a2335a7f82e3772648350376026cb38607"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/03_train_a01.sh","server_only",,"4ccabe6be0d97c98376b574c7197c16bfa7e9b5e6cd51a7b86c30074c4574baf"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/04_evaluate_a01.sh","server_only",,"42b338bfd13fc7116197770e15be3d4e7a27ef8e19a28379ea1564d61fbfe6a5"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/05_aggregate_a01.sh","server_only",,"179270461307ceab6a8e9593198d3308fb24774c8cac457b297dae0f6fb956de"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/06_train_a02_pool16.sh","server_only",,"d38c67609b52f584b23c29e8999a0551470be780e885ccace96302e3ee2290fe"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/07_pretrain_a03_cifar100.sh","server_only",,"e2f89e6a6551f3e5d9f22d122c33a3c290701a871d2d253fe9823f7394a4eab1"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/08_finetune_a04_cifar10.sh","server_only",,"18dd056b287435dc8523a670d7c122f9e6e8dddf2220963cda805e6df4156587"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/09_refine_a05_from_a01.sh","server_only",,"e9dbf4937f9213fdb990da170f86bd41f2a31dce88771558fee50eeeb1ee98d4"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/10_prepare_common_formal.sh","server_only",,"5baa43aeb518d775a0af1df917bac7fb43d546ab7d2b889415b2c1bc45b763aa"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/11_run_noft_pilot.sh","server_only",,"99dd71d3db98bc408f107b2d4552838403d266bf6808ad7103539c42d57bebae"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/12_run_bp_pilot.sh","server_only",,"69e2494a7a66226e3094eee778f535c16a8b2d4b80519c0ec6ba60ac05bea747"
