key,method,run_count,top1_mean,top1_std,top1_min,top1_max,top3_mean,mrr_mean
main,Optical Router + MoE,1,0.9100000262260437,0.0,0.9100000262260437,0.9100000262260437,0.9649999737739563,0.9411309957504272
d2nn,Dense D2NN,1,0.9049999713897705,0.0,0.9049999713897705,0.9049999713897705,0.9700000286102295,0.9382142424583435
qwen,Frozen Qwen embedding,1,0.9950000047683716,0.0,0.9950000047683716,0.9950000047683716,1.0,0.9975000023841858
