phase,host_time_unix,watts,utilization_percent,memory_used_mib
idle,1788791262.5572255,124.0,90.0,5647.0
idle,1788791262.6075184,124.0,90.0,5647.0
idle,1788791262.6578145,124.0,90.0,5647.0
idle,1788791262.7081525,62.06,90.0,5647.0
idle,1788791262.7584338,62.06,23.0,5647.0
idle,1788791262.8087983,63.53,23.0,5647.0
idle,1788791262.859092,63.53,23.0,5647.0
idle,1788791262.9460256,63.16,0.0,5647.0
idle,1788791263.041359,62.56,0.0,5647.0
idle,1788791263.3333716,62.56,0.0,5647.0
idle,1788791263.3835807,62.56,0.0,5647.0
idle,1788791263.43368,62.54,0.0,5647.0
idle,1788791263.483836,62.54,0.0,5647.0
idle,1788791263.5339038,62.54,0.0,5647.0
idle,1788791263.5840926,62.37,0.0,5647.0
idle,1788791263.63419,62.15,0.0,5647.0
idle,1788791263.6843624,62.15,0.0,5647.0
idle,1788791263.734423,62.15,0.0,5647.0
idle,1788791263.7847655,62.06,0.0,5647.0
idle,1788791263.8350067,62.06,0.0,5647.0
idle,1788791263.8852305,62.25,0.0,5647.0
idle,1788791263.9355228,62.15,0.0,5647.0
idle,1788791263.9857259,62.15,0.0,5647.0
idle,1788791264.0360487,62.15,0.0,5647.0
idle,1788791264.0863166,62.06,0.0,5647.0
idle,1788791264.1365721,62.06,0.0,5647.0
idle,1788791264.1867135,62.74,0.0,5647.0
idle,1788791264.2370582,62.74,0.0,5647.0
idle,1788791264.2873173,63.23,0.0,5647.0
idle,1788791264.337597,63.23,0.0,5647.0
idle,1788791264.387828,63.44,0.0,5647.0
idle,1788791264.4380622,63.44,0.0,5647.0
active:b8:trial0,1788791264.5463123,63.44,0.0,5647.0
active:b8:trial0,1788791264.5974977,104.46,0.0,5647.0
active:b8:trial0,1788791264.6533463,104.46,0.0,5647.0
active:b8:trial2,1788791265.1612601,248.77,66.0,5647.0
active:b8:trial3,1788791265.211428,248.77,66.0,5647.0
active:b8:trial3,1788791265.2615926,246.25,93.0,5647.0
active:b8:trial3,1788791265.3118343,246.25,93.0,5647.0
active:b8:trial3,1788791265.3620954,229.21,89.0,5647.0
active:b8:trial4,1788791265.4123905,229.21,89.0,5647.0
active:b8:trial4,1788791265.4626021,199.69,89.0,5647.0
active:b8:trial4,1788791265.5128562,199.69,89.0,5647.0
active:b8:trial4,1788791265.563147,208.9,90.0,5647.0
