run_id,class_set,shots,support_seed,method,epoch,train_loop_seconds,epoch_wall_seconds,gpu_uuid,foreign_pids
20260909_unseen_formal_a_qwen_vision_lora_5shot_s303,a,5,303,qwen_vision_lora,5,17.16843507438898,17.737434215843678,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_direct_20shot_s101,a,20,101,direct,1,7.577638514339924,7.629837095737457,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_direct_20shot_s101,a,20,101,direct,2,7.660273514688015,7.750125870108604,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_direct_20shot_s101,a,20,101,direct,3,7.8141225054860115,7.9253546968102455,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_direct_20shot_s101,a,20,101,direct,4,7.545818522572517,7.671730674803257,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_direct_20shot_s101,a,20,101,direct,5,7.553473822772503,7.697411902248859,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s101,a,20,101,qwen_vision_lora,1,16.011882208287716,16.326696515083313,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s101,a,20,101,qwen_vision_lora,2,16.288896568119526,16.771172277629375,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s101,a,20,101,qwen_vision_lora,3,16.623405016958714,17.025876820087433,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s101,a,20,101,qwen_vision_lora,4,16.081741251051426,16.503184735774994,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s101,a,20,101,qwen_vision_lora,5,16.70816431939602,17.23951432853937,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_direct_20shot_s202,a,20,202,direct,1,8.150050237774849,8.21839264780283,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_direct_20shot_s202,a,20,202,direct,2,8.169496051967144,8.323776565492153,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_direct_20shot_s202,a,20,202,direct,3,7.806153349578381,7.949612341821194,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_direct_20shot_s202,a,20,202,direct,4,8.081458501517773,8.180200457572937,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_direct_20shot_s202,a,20,202,direct,5,8.0756119415164,8.196867808699608,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s202,a,20,202,qwen_vision_lora,1,17.58777815103531,17.87538532167673,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s202,a,20,202,qwen_vision_lora,2,17.115861289203167,17.627621665596962,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s202,a,20,202,qwen_vision_lora,3,17.422137171030045,17.87275406718254,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s202,a,20,202,qwen_vision_lora,4,16.835189543664455,17.337773129343987,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s202,a,20,202,qwen_vision_lora,5,17.850375525653362,18.355941377580166,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_direct_20shot_s303,a,20,303,direct,1,7.453234188258648,7.5119901821017265,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_direct_20shot_s303,a,20,303,direct,2,7.217715680599213,7.357269272208214,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
