class_set,shots,method,top1_gain_pp_mean,top1_gain_pp_sd,three_paired_gains_pp
a,5,direct,2.7333339055379233,3.15330551747288,"[3.4000009298324585, -0.6999999284744263, 5.500000715255737]"
a,5,qwen_vision_lora,1.0333349307378132,0.47258115398174344,"[1.4000028371810913, 1.199999451637268, 0.5000025033950806]"
a,20,direct,6.299999356269836,2.8160244487955097,"[3.200000524520874, 6.999999284744263, 8.699998259544373]"
a,20,qwen_vision_lora,-0.3000011046727498,1.5000000596048915,"[-0.3000020980834961, -1.8000006675720215, 1.199999451637268]"
b,5,direct,3.0333340167999268,1.2858210075583896,"[4.500001668930054, 2.099999785423279, 2.5000005960464478]"
b,5,qwen_vision_lora,0.23333330949147543,0.6658320724221435,"[0.7999986410140991, -0.4999995231628418, 0.40000081062316895]"
b,20,direct,6.199999650319417,1.6093480850492332,"[4.499998688697815, 7.699999213218689, 6.400001049041748]"
b,20,qwen_vision_lora,1.2666662534077961,0.4041445326239544,"[1.6999989748001099, 0.9000003337860107, 1.199999451637268]"
