class_set,shots,method,mode,top1_percent_mean,top1_percent_sd,top3_percent_mean,top3_percent_sd,mean_epoch_seconds_mean,mean_epoch_seconds_sd
a,5,direct,frozen_source_bank,30.366666118303936,4.239497918745675,62.06666628519694,2.74651479923569,7.960007590552171,0.28783359623081106
a,5,direct,adapted,33.10000002384186,2.8160259304316555,61.36666735013326,2.627420590922644,7.960007590552171,0.28783359623081106
a,5,qwen_vision_lora,frozen_source_bank,30.16666571299235,3.1817190507747024,62.766667207082115,2.2188605772600782,17.582371498147648,0.5045954958129362
a,5,qwen_vision_lora,qwen_reference_swap_only,30.100000898043316,3.041381794292058,62.633333603541054,2.010806373288911,17.582371498147648,0.5045954958129362
a,5,qwen_vision_lora,adapted,31.200000643730164,2.9103255815848756,62.70000139872233,1.5874494980122253,17.582371498147648,0.5045954958129362
a,20,direct,frozen_source_bank,35.70000032583872,0.45825784784144646,67.66666571299235,1.850225229557384,7.790342489878337,0.35892918065988555
a,20,direct,adapted,41.99999968210856,2.605762120420591,71.50000135103862,1.4000011341912622,7.790342489878337,0.35892918065988555
a,20,qwen_vision_lora,frozen_source_bank,35.300000508626304,0.5196154349821064,67.86666711171468,1.5307943063113079,17.117291008929413,0.603292174167538
a,20,qwen_vision_lora,qwen_reference_swap_only,35.300000508626304,0.781024451695493,67.73333350817363,1.4153905560719096,17.117291008929413,0.603292174167538
a,20,qwen_vision_lora,adapted,34.99999940395355,1.967231680909632,68.03333361943562,1.517675523093653,17.117291008929413,0.603292174167538
b,5,direct,frozen_source_bank,28.53333353996277,0.8504895590933457,57.40000009536743,3.534121216720067,7.748775824407736,0.3110208710352842
b,5,direct,adapted,31.566667556762695,1.6258333289796827,58.16666682561239,2.6839019074296817,7.748775824407736,0.3110208710352842
b,5,qwen_vision_lora,frozen_source_bank,30.299999316533405,1.3000004566634469,57.96666741371155,3.326160056690176,18.264374489088855,2.3056895133754542
b,5,qwen_vision_lora,qwen_reference_swap_only,30.366666118303936,1.2858193078621944,57.86666671435038,3.137410005036705,18.264374489088855,2.3056895133754542
b,5,qwen_vision_lora,adapted,30.533332626024883,1.9399312841889722,58.699999252955116,4.121890385435706,18.264374489088855,2.3056895133754542
b,20,direct,frozen_source_bank,32.233333587646484,1.9218040531782923,62.69999941190084,1.8357549061983571,7.731071208417416,0.03297706415091812
b,20,direct,adapted,38.433333237965904,2.1594758720043137,66.43333435058594,2.285461254490764,7.731071208417416,0.03297706415091812
b,20,qwen_vision_lora,frozen_source_bank,33.566666642824806,2.1548401933160197,62.99999952316284,0.7937253122193977,16.824635102848212,0.056765990111806115
b,20,qwen_vision_lora,qwen_reference_swap_only,33.36666723092397,2.4337904354356863,62.96666661898295,0.9073756722539588,16.824635102848212,0.056765990111806115
b,20,qwen_vision_lora,adapted,34.833332896232605,1.955335446959397,64.89999890327454,0.8000016212463379,16.824635102848212,0.056765990111806115
