run_id,class_set,shots,support_seed,method,mode,top1_percent,top3_percent,mrr,mean_train_seconds,mean_epoch_seconds,phase_rms_change_rad,gpu_uuid,foreign_pids
20260909_unseen_formal_a_direct_20shot_s202,a,20,202,direct,frozen_source_bank,35.19999980926514,69.49999928474426,0.5570154190063477,8.056554016470908,8.173769964277744,0.18848386406898499,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_direct_20shot_s202,a,20,202,direct,adapted,42.1999990940094,72.10000157356262,0.6040853261947632,8.056554016470908,8.173769964277744,0.18848386406898499,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s202,a,20,202,qwen_vision_lora,frozen_source_bank,34.700000286102295,68.69999766349792,0.5483793616294861,17.362268336117268,17.81389511227608,0.5011215806007385,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s202,a,20,202,qwen_vision_lora,qwen_reference_swap_only,34.40000116825104,68.59999895095825,0.5466539859771729,17.362268336117268,17.81389511227608,0.5011215806007385,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s202,a,20,202,qwen_vision_lora,adapted,32.89999961853027,68.30000281333923,0.5371435880661011,17.362268336117268,17.81389511227608,0.5011215806007385,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_direct_20shot_s303,a,20,303,direct,frozen_source_bank,35.80000102519989,67.69999861717224,0.5546385049819946,7.347192470729351,7.462365457415581,0.19435463845729828,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_direct_20shot_s303,a,20,303,direct,adapted,44.49999928474426,72.50000238418579,0.6171039938926697,7.347192470729351,7.462365457415581,0.19435463845729828,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s303,a,20,303,qwen_vision_lora,frozen_source_bank,35.600000619888306,68.80000233650208,0.5528845191001892,16.323895880579947,16.76468897908926,0.6764162182807922,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s303,a,20,303,qwen_vision_lora,qwen_reference_swap_only,35.69999933242798,68.50000023841858,0.5532547831535339,16.323895880579947,16.76468897908926,0.6764162182807922,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s303,a,20,303,qwen_vision_lora,adapted,36.800000071525574,69.40000057220459,0.5661015510559082,16.323895880579947,16.76468897908926,0.6764162182807922,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
