epoch,loss,fit_hit_at_1,val_hit_at_1,val_mrr,val_map
1,1.7838233709335327,0.8399999737739563,0.7999999523162842,0.8695995807647705,0.8269468545913696
2,1.5037376880645752,0.8299999833106995,0.7999999523162842,0.8712063431739807,0.8310648798942566
3,1.323099136352539,0.8199999928474426,0.8100000023841858,0.875761866569519,0.8344858288764954
4,1.2274516820907593,0.8299999833106995,0.8100000023841858,0.8773333430290222,0.8360877633094788
5,1.1826082468032837,0.85999995470047,0.8199999928474426,0.8829286098480225,0.8416895270347595
6,1.1545718908309937,0.8700000047683716,0.8199999928474426,0.8907499313354492,0.8490141034126282
7,1.126111388206482,0.8700000047683716,0.85999995470047,0.9107499718666077,0.8610624670982361
8,1.094538927078247,0.8799999952316284,0.8700000047683716,0.9171666502952576,0.8655745983123779
9,1.0619239807128906,0.8799999952316284,0.8700000047683716,0.9185000658035278,0.8659725785255432
10,1.030198574066162,0.8799999952316284,0.8700000047683716,0.9184091091156006,0.8667930960655212
11,1.000656008720398,0.8899999856948853,0.8700000047683716,0.9184091091156006,0.8690316081047058
12,0.973953127861023,0.8899999856948853,0.8700000047683716,0.9199999570846558,0.8685369491577148
13,0.9502619504928589,0.8999999761581421,0.8899999856948853,0.9300000071525574,0.8752472996711731
14,0.9295098185539246,0.8999999761581421,0.8999999761581421,0.9350000023841858,0.8802556991577148
15,0.9112887382507324,0.9199999570846558,0.8999999761581421,0.9366666078567505,0.8828667998313904
16,0.8947461247444153,0.9300000071525574,0.8999999761581421,0.9366666078567505,0.8862841129302979
17,0.878852128982544,0.9199999570846558,0.8999999761581421,0.9366666078567505,0.8864580392837524
18,0.862904965877533,0.9199999570846558,0.8999999761581421,0.9366666078567505,0.8873555064201355
19,0.846760630607605,0.9300000071525574,0.8999999761581421,0.9366025328636169,0.8870853781700134
20,0.8306117653846741,0.9199999570846558,0.8999999761581421,0.9357692003250122,0.8873426914215088
21,0.8146923184394836,0.9199999570846558,0.9099999666213989,0.9407691955566406,0.8923115134239197
22,0.7991782426834106,0.9199999570846558,0.9099999666213989,0.9416025876998901,0.8927282691001892
23,0.7842341065406799,0.9300000071525574,0.9099999666213989,0.9415475726127625,0.8949583172798157
24,0.7700449824333191,0.9300000071525574,0.9099999666213989,0.9407142400741577,0.8981468081474304
25,0.7567732334136963,0.9300000071525574,0.9099999666213989,0.942380964756012,0.9000356793403625
26,0.7444883584976196,0.9399999976158142,0.9099999666213989,0.9424359202384949,0.9013964533805847
27,0.7331089973449707,0.9399999976158142,0.9099999666213989,0.9433332681655884,0.904456377029419
28,0.7223860621452332,0.9399999976158142,0.9199999570846558,0.9484090805053711,0.9069942235946655
29,0.7119789719581604,0.9399999976158142,0.9199999570846558,0.9484090805053711,0.908660888671875
30,0.7016319632530212,0.9399999976158142,0.9199999570846558,0.9485000371932983,0.9092063903808594
31,0.6913160085678101,0.9599999785423279,0.9199999570846558,0.9485000371932983,0.9088237285614014
32,0.681212306022644,0.9699999690055847,0.9199999570846558,0.9485000371932983,0.9113237261772156
33,0.6715472936630249,0.9699999690055847,0.9199999570846558,0.9486111402511597,0.9129348397254944
34,0.6624171733856201,0.9699999690055847,0.9199999570846558,0.9494444131851196,0.9149424433708191
35,0.6537398099899292,0.9699999690055847,0.9300000071525574,0.954444408416748,0.916878342628479
36,0.6453412771224976,0.9699999690055847,0.9300000071525574,0.954444408416748,0.9176748991012573
37,0.6370776295661926,0.9699999690055847,0.9300000071525574,0.954444408416748,0.9182224869728088
38,0.6289072036743164,0.9799999594688416,0.9399999976158142,0.9594444036483765,0.9215558171272278
39,0.6208847761154175,0.9799999594688416,0.9399999976158142,0.9594444036483765,0.9215558171272278
40,0.6131019592285156,0.9799999594688416,0.9399999976158142,0.9594444036483765,0.920722484588623
41,0.6056209206581116,0.9799999594688416,0.9399999976158142,0.9594444036483765,0.9223892092704773
42,0.5984391570091248,0.9799999594688416,0.9399999976158142,0.9594444036483765,0.9225786924362183
43,0.591504693031311,0.9799999594688416,0.949999988079071,0.9644443988800049,0.9245786666870117
44,0.5847601294517517,0.9799999594688416,0.949999988079071,0.9644443988800049,0.9261904954910278
45,0.5781811475753784,0.9799999594688416,0.949999988079071,0.9644443988800049,0.9262380599975586
46,0.5717759132385254,0.9799999594688416,0.949999988079071,0.9644443988800049,0.9262380599975586
47,0.5655556917190552,0.9799999594688416,0.949999988079071,0.9644443988800049,0.9262380599975586
48,0.5595071315765381,0.9799999594688416,0.949999988079071,0.9644443988800049,0.9262380599975586
49,0.5535926818847656,0.9799999594688416,0.949999988079071,0.9644443988800049,0.9246150851249695
50,0.5477733612060547,0.9799999594688416,0.949999988079071,0.9661111235618591,0.9259405136108398
