stage,tile_index,box_xyxy,phase_rad_min,phase_rad_max,phase_rad_mean_linear,phase_rad_std_linear,phase_rad_circular_mean,phase_rad_residual_std,phase_circular_resultant_length,phase_rad_circular_std
vision_router,0,"61,61,170,170",0.0002825219708029181,6.282902240753174,2.0849981203987458,2.2084302979624586,6.211983591808681,1.5133007767327775,0.34878248825769154,1.4514177854021797
vision_router,1,"307,61,416,170",0.0002773527812678367,6.282891273498535,2.010721454903867,2.234811124517104,6.218399327049829,1.449985369267293,0.4023518132799557,1.3493912817839444
vision_router,2,"61,307,170,416",0.0002907898451667279,6.282893180847168,2.0001750322735554,2.248935083833186,6.240725895595491,1.4219352865493546,0.4220820796787351,1.313434796440793
vision_router,3,"307,307,416,416",0.0002314199082320556,6.282944202423096,2.026954593094989,2.233878493716377,6.232242956425752,1.460591085970114,0.39582595439415236,1.3614555985751196
vision_expert,0,"0,0,109,109",0.7206389307975769,5.618319511413574,3.147572443748341,0.7988933971686603,3.1481206794353414,0.7988933971686601,0.7217805266235648,0.8075074811372015
vision_expert,1,"123,0,232,109",1.4242424964904785,4.614609241485596,3.143425206686148,0.3954385043253423,3.143193553976525,0.3954385043253422,0.9246575160725091,0.39580768796177584
vision_expert,2,"0,123,109,232",0.6523623466491699,5.508364677429199,3.1366480234877128,0.7960845251131499,3.1368138362334244,0.7960845251131499,0.7234730194853443,0.8046017962496453
vision_expert,3,"123,123,232,232",0.6138186454772949,5.650207996368408,3.1538825253376346,0.8680433513099305,3.1523623367375104,0.8680433513099305,0.6779032431814317,0.881760410086089
vision_expert,4,"246,0,355,109",0.8776839971542358,5.225759029388428,3.1260696734636384,0.6400945943387611,3.1277537972156964,0.6400945943387611,0.8133705031769751,0.6427574189067173
vision_expert,5,"369,0,478,109",0.7290385961532593,5.621371269226074,3.1300936799319885,0.8221977193977221,3.1292326950318947,0.8221977193977221,0.7072002001967778,0.8323959209115148
vision_expert,6,"246,123,355,232",0.6615352034568787,5.568126678466797,3.139011378932828,0.7537135070814787,3.1392363227584212,0.7537135070814787,0.748724863668056,0.7607676401859186
vision_expert,7,"369,123,478,232",0.7952922582626343,5.602212429046631,3.145882089223718,0.7825170884075913,3.1450229293611613,0.7825170884075913,0.7315683020503192,0.7906512382712158
vision_expert,8,"0,246,109,355",1.6164053678512573,4.626649856567383,3.1452748734143716,0.4004827294485167,3.145446977711408,0.4004827294485167,0.9228474718295622,0.4007276151137165
vision_expert,9,"123,246,232,355",0.7668755054473877,5.700469970703125,3.132732148759845,0.7915654823220484,3.1331210798100364,0.7915654823220484,0.7265435688144856,0.7993207452969606
vision_expert,10,"0,369,109,478",0.7153587937355042,5.770027160644531,3.132497219056676,0.8171174914814412,3.128193831950043,0.8171174914814412,0.7095296171905625,0.8284359232956691
vision_expert,11,"123,369,232,478",0.422520250082016,5.804188251495361,3.1456794653784876,0.8837485746798187,3.1464589373206913,0.8837485746798187,0.6688957385502788,0.8968021829928405
vision_expert,12,"246,246,355,355",0.7143412828445435,5.544964790344238,3.141221303242885,0.787770053225425,3.142585418306624,0.787770053225425,0.7281001301430228,0.7966388125595587
vision_expert,13,"369,246,478,355",0.41343364119529724,5.69745397567749,3.136260847264835,0.8998868946188712,3.1325771714858197,0.8998868946188712,0.6574303638765711,0.9158781916750829
vision_expert,14,"246,369,355,478",1.6800004243850708,4.725829601287842,3.1453321894936344,0.4263587258262426,3.1451216092947694,0.4263587258262426,0.9130119237725449,0.42662943752304533
vision_expert,15,"369,369,478,478",0.9663686752319336,5.371529579162598,3.1331817913051405,0.6475643393960655,3.1333540833821956,0.6475643393960655,0.8095904333368255,0.6499643021725927
vision_global,0,"0,0,478,478",0.8046450614929199,5.551333427429199,3.141263081074957,0.4724526105789832,3.1415301951063777,0.4724526105789832,0.8960170752683667,0.46860603702819237
language_router,0,"184,184,293,293",2.329100425413344e-05,6.283159255981445,2.1605445320787244,2.174761890891926,6.262067730376911,1.6177796593160818,0.21445570990247853,1.7547945991341856
language_expert,0,"123,123,232,232",1.0223314762115479,5.250571250915527,3.1408578766464896,0.43917849290937905,3.141315669849362,0.43917849290937905,0.9088833490756191,0.43712360240374476
language_expert,1,"246,123,355,232",1.2408299446105957,5.011341571807861,3.1338993181093464,0.4256162418260606,3.134276540451705,0.4256162418260606,0.9137712195726767,0.42467645490003314
language_expert,2,"123,246,232,355",0.6636947393417358,5.731341361999512,3.143979011340712,0.5416976341945927,3.1442982715711985,0.5416976341945927,0.8680145807280427,0.5320653463421405
language_expert,3,"246,246,355,355",1.446124792098999,4.634931564331055,3.1425743994212354,0.4082332221661618,3.142820977641344,0.4082332221661618,0.9201059083039365,0.40808454477697986
language_global,0,"0,0,478,478",1.386505365371704,4.894595623016357,3.1420750313284675,0.3900388457682243,3.1420909115511204,0.3900388457682243,0.9266716627599311,0.39027162211092514
