precision_at_1,positive_recall_at_1,hit_at_1,r_at_1,precision_at_5,positive_recall_at_5,hit_at_5,r_at_5,precision_at_10,positive_recall_at_10,hit_at_10,r_at_10,map_at_10,ndcg_at_10,query_count,candidate_count,relevant_candidates_per_query,category_id,category_name,category_route_accuracy
0.75,0.0625,0.75,0.75,0.5833333333333334,0.24305555555555555,0.9166666666666666,0.9166666666666666,0.4604166666666667,0.3836805555555555,0.9791666666666666,0.9791666666666666,0.4131539351851852,0.5219435724708047,48,120,12.0,0,chair,0.5
1.0,0.08333333333333333,1.0,1.0,1.0,0.4166666666666667,1.0,1.0,0.9875000000000002,0.8229166666666666,1.0,1.0,0.9875000000000002,0.9920474014751312,48,120,12.0,1,rug,1.0
1.0,0.08333333333333333,1.0,1.0,1.0,0.4166666666666667,1.0,1.0,0.9333333333333332,0.7777777777777778,1.0,1.0,0.9318518518518518,0.9570261846219212,48,120,12.0,2,sofa,1.0
0.9166666666666666,0.07638888888888888,0.9166666666666666,0.9166666666666666,0.8583333333333334,0.3576388888888889,0.9583333333333334,0.9583333333333334,0.7374999999999999,0.6145833333333334,1.0,1.0,0.67213458994709,0.7820019042605351,48,120,12.0,3,wall art,0.9166666666666666
1.0,0.08333333333333333,1.0,1.0,0.9333333333333332,0.3888888888888889,1.0,1.0,0.9354166666666668,0.779513888888889,1.0,1.0,0.9052281746031747,0.9435706362647164,48,120,12.0,4,light fixture,1.0
1.0,0.08333333333333333,1.0,1.0,1.0,0.4166666666666667,1.0,1.0,0.8604166666666667,0.7170138888888888,1.0,1.0,0.8576331018518518,0.9093471041480564,48,120,12.0,5,stool seating,1.0
1.0,0.08333333333333333,1.0,1.0,1.0,0.4166666666666667,1.0,1.0,0.9791666666666666,0.8159722222222223,1.0,1.0,0.9791666666666666,0.9867456691252183,48,120,12.0,6,pillow,1.0
0.9166666666666666,0.07638888888888888,0.9166666666666666,0.9166666666666666,0.9500000000000001,0.3958333333333333,1.0,1.0,0.8958333333333334,0.7465277777777778,1.0,1.0,0.870448082010582,0.9083677471138941,48,120,12.0,7,bed,0.8958333333333334
0.9375,0.07812499999999999,0.9375,0.9375,0.8833333333333334,0.3680555555555556,1.0,1.0,0.7895833333333334,0.6579861111111112,1.0,1.0,0.7414905753968254,0.8268261011336481,48,120,12.0,8,home mirror,0.8958333333333334
1.0,0.08333333333333333,1.0,1.0,1.0,0.4166666666666667,1.0,1.0,0.96875,0.8072916666666666,1.0,1.0,0.9667253637566137,0.9788111710031525,48,120,12.0,9,vase,1.0
