run_id,epoch,train_loss,train_acc,val_loss,val_acc
cifar10_clip_vitb32_teacher_matched_mlp_probe,1,1.2488065939479405,0.6529166666666667,0.6612051415443421,0.79
cifar10_clip_vitb32_teacher_matched_mlp_probe,2,0.5944009102715386,0.7966666666666666,0.556717598438263,0.81125
cifar10_clip_vitb32_teacher_matched_mlp_probe,3,0.5141545446713766,0.8272222222222222,0.5176966691017151,0.82
cifar10_clip_vitb32_teacher_matched_mlp_probe,4,0.4754859118991428,0.8370833333333333,0.513311414718628,0.825
cifar10_clip_vitb32_teacher_matched_mlp_probe,5,0.45740074263678654,0.8391666666666666,0.5058343291282654,0.825
cifar10_clip_vitb32_teacher_matched_mlp_probe,6,0.4373493748241001,0.8488888888888889,0.4884005117416382,0.835
cifar10_clip_vitb32_teacher_matched_mlp_probe,7,0.4276954544915093,0.8509722222222222,0.4928699445724487,0.82625
cifar10_clip_vitb32_teacher_matched_mlp_probe,8,0.40948678029908075,0.8584722222222222,0.49086656332015993,0.82875
cifar10_clip_vitb32_teacher_matched_mlp_probe,9,0.4016169116894404,0.8591666666666666,0.49429073810577395,0.83
cifar10_clip_vitb32_teacher_matched_mlp_probe,10,0.3910990905099445,0.8645833333333334,0.5014945316314697,0.82625
cifar10_clip_vitb32_teacher_matched_mlp_probe,11,0.3827944036324819,0.8636111111111111,0.4806611466407776,0.8375
cifar10_clip_vitb32_teacher_matched_mlp_probe,12,0.37316033098432755,0.8702777777777778,0.5124577784538269,0.83
cifar10_clip_vitb32_teacher_matched_mlp_probe,13,0.36332411739561293,0.8755555555555555,0.483949568271637,0.8375
cifar10_clip_vitb32_teacher_matched_mlp_probe,14,0.3566236442989773,0.8766666666666667,0.4823667287826538,0.83125
cifar10_clip_vitb32_teacher_matched_mlp_probe,15,0.34786357124646505,0.8801388888888889,0.4752916169166565,0.84125
cifar10_clip_vitb32_teacher_matched_mlp_probe,16,0.3487565301524268,0.8781944444444445,0.48477232933044434,0.83375
cifar10_clip_vitb32_teacher_matched_mlp_probe,17,0.33572936481899684,0.88375,0.4997084367275238,0.83
cifar10_clip_vitb32_teacher_matched_mlp_probe,18,0.3374503093295627,0.8788888888888889,0.4922167277336121,0.83125
cifar10_clip_vitb32_teacher_matched_mlp_probe,19,0.32678553832901847,0.8870833333333333,0.5062603688240052,0.83
cifar10_clip_vitb32_teacher_matched_mlp_probe,20,0.32149434480402206,0.8881944444444444,0.4957854080200195,0.8275
cifar10_clip_vitb32_teacher_matched_mlp_probe,21,0.3167087199952867,0.8875,0.5019112658500672,0.82625
cifar10_clip_vitb32_teacher_matched_mlp_probe,22,0.3113764590687222,0.8879166666666667,0.486408154964447,0.83625
cifar10_clip_vitb32_teacher_matched_mlp_probe,23,0.30684839891062843,0.8905555555555555,0.4699581789970398,0.84375
cifar10_clip_vitb32_teacher_matched_mlp_probe,24,0.3038482553429074,0.8919444444444444,0.48789592266082765,0.8375
cifar10_clip_vitb32_teacher_matched_mlp_probe,25,0.2935166292720371,0.8983333333333333,0.4918405723571777,0.8425
cifar10_clip_vitb32_teacher_matched_mlp_probe,26,0.2925350487894482,0.8976388888888889,0.49251599788665773,0.845
cifar10_clip_vitb32_teacher_matched_mlp_probe,27,0.2885496844185723,0.8991666666666667,0.4757329845428467,0.83625
cifar10_clip_vitb32_teacher_matched_mlp_probe,28,0.28257990068859523,0.9006944444444445,0.49424237847328184,0.845
cifar10_clip_vitb32_teacher_matched_mlp_probe,29,0.2756226609150569,0.9022222222222223,0.5015831124782563,0.8375
cifar10_clip_vitb32_teacher_matched_mlp_probe,30,0.2753188502788544,0.9025,0.5028287267684937,0.84625
cifar10_clip_vitb32_teacher_matched_mlp_probe,31,0.27225035932328967,0.9022222222222223,0.49589412212371825,0.8425
cifar10_clip_vitb32_teacher_matched_mlp_probe,32,0.2672421630223592,0.9059722222222222,0.5049791049957275,0.83625
