key,method,run_count,top1_mean,top1_std,top1_min,top1_max,top3_mean,mrr_mean
main,Optical Router + MoE,1,0.8999999761581421,0.0,0.8999999761581421,0.8999999761581421,0.9649999737739563,0.934374988079071
d2nn,Dense D2NN,1,0.8949999809265137,0.0,0.8949999809265137,0.8949999809265137,0.9700000286102295,0.9348809719085693
qwen,Frozen Qwen embedding,1,0.9950000047683716,0.0,0.9950000047683716,0.9950000047683716,1.0,0.9975000023841858
