task_id,task,metric,ours_performance,qwen_performance,ours_workload,qwen_workload,test_samples,qwen_latency_mean_ms,qwen_latency_median_ms,qwen_latency_p95_ms,qwen_active_power_mean_w,qwen_active_power_peak_w,qwen_energy_measured_j,qwen_energy_idle_subtracted_j,qwen_energy_rated_upper_j,a100_power_limit_w,ours_latency_ms,ours_serial_electronic_ms,ours_physical_passes,ours_physical_time_ms,ours_power_proxy_w,ours_energy_proxy_j,speedup_qwen_over_ours,energy_ratio_measured_qwen_over_ours,energy_ratio_rated_upper_qwen_over_ours
T06-temporal,LGVQ temporal quality,SRCC,0.8044,0.7663428036522781,16 videos x 4 frames in one optical field,16 videos sequential; each video has 4 frames,558,1200.0529824533771,1236.35302734375,1581.6270141601562,86.48252559726961,183.7,103.78361277310393,31.832436121807625,300.0132456133443,250.0,20.3822885,12.498288500000001,6,7.884,80.388,1.6384914079380002,58.87724444943349,63.340956364069655,183.10333771655436
T06-spatial,LGVQ spatial quality,SRCC,0.6393237619075796,0.6907725734336255,1 video x 4 frames in a 2x2 optical field,1 video x 4 frames,558,74.43764681115373,75.32083129882812,78.3602195739746,83.85514840182648,182.0,6.241979920032041,1.7174922621447932,18.60941170278843,250.0,11.558334,3.674334,6,7.884,80.388,0.9291513535920001,6.440170946016417,6.717936637450091,20.02839648335702
T08,ABO image-to-title retrieval,R@1,0.7983333333333333,0.7358333333333333,1 image query against 100 titles,1 image query against 100 precomputed titles,2400,43.963330574035645,42.09868812561035,57.06030120849608,86.25726744186046,103.7,3.792156762959513,1.0865038019890456,10.990832643508911,250.0,10.1754115,2.2914114999999997,6,7.884,80.388,0.817980979662,4.320545716901537,4.6359962606055705,13.436538155264271
T02,LSP keypoint detection,PCK@0.2,0.5773,0.7225714285714285,1 image,1 image,1000,18.015795187950133,17.009663581848145,25.41752338409424,80.61964285714286,87.83,1.4524269738399729,0.3235249113203724,4.503948796987533,250.0,6.2587375000000005,2.3167375000000003,3,3.942,80.388,0.5031273901500001,2.8785030827623195,2.886797662530265,8.951905392478725
T03,SALICON saliency,CC,0.8291,0.8810337488174439,1 image,1 image,5000,19.14109441757202,19.75347137451172,25.645874977111816,81.0532584269663,93.3,1.5514480724024267,0.22036164268568587,4.785273604393005,250.0,6.309113,2.3671130000000002,3,3.942,80.388,0.507176975844,3.0338804230597898,3.0589875847984644,9.435116009416175
