phase,host_time_unix,watts,utilization_percent,memory_used_mib
idle,1788791252.2948654,203.27,82.0,5121.0
idle,1788791252.3451953,65.27,82.0,5121.0
idle,1788791252.395479,65.27,82.0,5121.0
idle,1788791252.4757054,61.25,51.0,5121.0
idle,1788791252.5285506,61.15,51.0,5121.0
idle,1788791252.58126,61.15,51.0,5121.0
idle,1788791252.8724961,61.15,51.0,5121.0
idle,1788791252.9227586,68.46,0.0,5121.0
idle,1788791252.9730322,68.46,0.0,5121.0
idle,1788791253.0233417,68.46,0.0,5121.0
idle,1788791253.0736434,62.6,0.0,5121.0
idle,1788791253.1239843,62.6,0.0,5121.0
idle,1788791253.174322,63.18,0.0,5121.0
idle,1788791253.224552,63.18,0.0,5121.0
idle,1788791253.2748606,62.58,0.0,5121.0
idle,1788791253.3252301,62.58,0.0,5121.0
idle,1788791253.3755684,62.64,0.0,5121.0
idle,1788791253.4256427,62.64,0.0,5121.0
idle,1788791253.4759676,62.35,0.0,5121.0
idle,1788791253.5261507,62.35,0.0,5121.0
idle,1788791253.5763714,62.66,0.0,5121.0
idle,1788791253.626718,62.66,0.0,5121.0
idle,1788791253.6769965,62.45,0.0,5121.0
idle,1788791253.7273707,62.45,0.0,5121.0
idle,1788791253.7777114,62.58,0.0,5121.0
idle,1788791253.82795,62.58,0.0,5121.0
idle,1788791253.8781934,62.25,0.0,5121.0
idle,1788791253.9286,62.25,0.0,5121.0
idle,1788791253.9789665,62.68,0.0,5121.0
idle,1788791254.0508163,62.68,0.0,5121.0
idle,1788791254.1036234,63.67,0.0,5121.0
idle,1788791254.1562622,63.67,0.0,5121.0
active:b4:trial2,1788791254.5698273,62.35,0.0,5121.0
active:b4:trial2,1788791254.6199877,62.35,0.0,5121.0
active:b4:trial3,1788791254.6702983,62.35,0.0,5121.0
active:b4:trial3,1788791254.7205832,208.1,87.0,5121.0
active:b4:trial4,1788791254.7708116,208.1,87.0,5121.0
active:b4:trial4,1788791254.821198,245.71,88.0,5121.0
active:b4:trial4,1788791254.8714619,245.71,88.0,5121.0
active:b4:trial5,1788791254.9217882,216.37,88.0,5121.0
active:b4:trial5,1788791254.9722023,216.37,88.0,5121.0
active:b4:trial6,1788791255.0224433,252.9,90.0,5121.0
active:b4:trial6,1788791255.072775,252.9,90.0,5121.0
active:b4:trial7,1788791255.1231637,252.54,90.0,5121.0
active:b4:trial7,1788791255.1735065,252.54,90.0,5121.0
active:b4:trial7,1788791255.2238386,240.11,87.0,5121.0
active:b4:trial8,1788791255.2754912,240.11,87.0,5121.0
active:b4:trial8,1788791255.3257654,186.18,87.0,5121.0
active:b4:trial9,1788791255.376046,186.18,87.0,5121.0
active:b4:trial9,1788791255.4263787,257.45,89.0,5121.0
active:b4:trial10,1788791255.4767652,257.45,89.0,5121.0
active:b4:trial10,1788791255.5269485,247.49,89.0,5121.0
active:b4:trial10,1788791255.5770695,247.49,89.0,5121.0
active:b4:trial11,1788791255.6272333,214.95,90.0,5121.0
active:b4:trial11,1788791255.677467,214.95,90.0,5121.0
active:b4:trial12,1788791255.766554,258.31,90.0,5121.0
active:b4:trial12,1788791255.817055,255.61,90.0,5121.0
active:b4:trial13,1788791255.8711421,255.61,86.0,5121.0
active:b4:trial17,1788791256.340876,230.98,86.0,5121.0
active:b4:trial17,1788791256.3910367,230.98,86.0,5121.0
active:b4:trial18,1788791256.441368,254.77,89.0,5121.0
active:b4:trial18,1788791256.4916468,254.77,89.0,5121.0
active:b4:trial19,1788791256.5418756,254.57,89.0,5121.0
active:b4:trial19,1788791256.5921452,254.57,89.0,5121.0
active:b4:trial19,1788791256.642257,223.87,88.0,5121.0
active:b4:trial20,1788791256.6925197,223.87,88.0,5121.0
active:b4:trial20,1788791256.7427492,247.57,88.0,5121.0
active:b4:trial21,1788791256.7930615,247.57,88.0,5121.0
active:b4:trial21,1788791256.843383,247.57,88.0,5121.0
active:b4:trial22,1788791256.8939667,240.35,88.0,5121.0
active:b4:trial22,1788791256.9440787,240.35,88.0,5121.0
active:b4:trial22,1788791256.9943576,213.63,88.0,5121.0
active:b4:trial23,1788791257.0447953,213.63,88.0,5121.0
active:b4:trial23,1788791257.0950992,260.67,91.0,5121.0
active:b4:trial24,1788791257.1454332,260.67,91.0,5121.0
active:b4:trial24,1788791257.195785,253.69,91.0,5121.0
active:b4:trial25,1788791257.2468445,253.69,91.0,5121.0
active:b4:trial25,1788791257.2964838,220.91,91.0,5121.0
active:b4:trial25,1788791257.3468025,220.91,87.0,5121.0
active:b4:trial26,1788791257.397099,260.17,87.0,5121.0
active:b4:trial26,1788791257.4475021,260.17,87.0,5121.0
active:b4:trial27,1788791257.5333068,255.26,88.0,5121.0
active:b4:trial27,1788791257.5880237,228.97,88.0,5121.0
active:b4:trial28,1788791257.641023,228.97,88.0,5121.0
