sample_index,sample_id,product_id,label,cuda_ms,host_ms,first_block_calls,first_block_input_shape
0,10ba8b76e96a8a74,B017YEAR0C,0,25.079776763916016,25.099223013967276,1,"[160, 1024]"
1,28ef49170e97e706,B00NO73Q84,1,25.15996742248535,25.16642864793539,1,"[156, 1024]"
2,05c7479a364ea418,B07N6RT9SM,2,25.08527946472168,25.09099431335926,1,"[160, 1024]"
3,035992253a101c7a,B073P17RRM,3,25.182912826538086,25.189281906932592,1,"[168, 1024]"
4,0e84425f04d34d6b,B07B8PXSGV,4,25.11849594116211,25.124668143689632,1,"[180, 1024]"
5,1765a2dd40eab0de,B07QWC7NYS,5,26.46031951904297,26.466607116162777,1,"[168, 1024]"
6,12a64f561454bd0e,B084HV7BDJ,6,25.018943786621094,25.024794973433018,1,"[180, 1024]"
7,04c5e4859765a2ed,B00TS18AEA,7,28.44598388671875,28.451967053115368,1,"[160, 1024]"
8,03a05ec618f390c7,B07TQ89MMN,8,25.021343231201172,25.02750512212515,1,"[168, 1024]"
9,127c9a6bd72f01fa,B0719SNKSY,9,25.139455795288086,25.145419873297215,1,"[180, 1024]"
10,1eb6e7c772707ad8,B073WQ8JLT,10,25.71059226989746,25.71633690968156,1,"[160, 1024]"
11,032b6678c195b11f,B073G7BVBP,11,25.08188819885254,25.087762624025345,1,"[180, 1024]"
12,00005a41ed3c40c0,B08G1TN3Y8,12,32.80918502807617,32.815658021718264,1,"[160, 1024]"
13,0aa93717b8ad15ca,B07HSGP5PS,13,26.310335159301758,26.316252071410418,1,"[144, 1024]"
14,0c9c4f9cb23e6dcb,B079V3YHVF,14,25.340639114379883,25.346835609525442,1,"[160, 1024]"
15,17630831702c2272,B07B8K1DL3,15,24.936511993408203,24.9426057562232,1,"[144, 1024]"
16,020cc784d6179a55,B07WFNW48N,16,36.961822509765625,36.96827590465546,1,"[168, 1024]"
17,0706b6bb2d5acc57,B074KKMQBG,17,25.12678337097168,25.132958311587572,1,"[168, 1024]"
18,05891b84536c9369,B075HXHKTZ,18,26.138816833496094,26.144728995859623,1,"[180, 1024]"
19,265df48319753c9d,B00F5CKWBA,19,25.1243839263916,25.129396934062243,1,"[160, 1024]"
20,06b89ab3228ffb3b,B082L6MDHT,20,24.95689582824707,24.963323026895523,1,"[160, 1024]"
21,059328452b56240f,B079L7YJBB,21,38.4854736328125,38.49112428724766,1,"[192, 1024]"
22,0bea7ebbd57257c4,B00EUL2B16,22,25.503711700439453,25.509739760309458,1,"[160, 1024]"
23,0be3927d05b3ca6b,B07B8NSY3Z,23,24.8121280670166,24.818106088787317,1,"[168, 1024]"
24,06575762d2568fb5,B07DBDSGD6,24,24.826847076416016,24.83308222144842,1,"[180, 1024]"
25,0609e426c3ae39f6,B00MIBN16O,25,24.8874568939209,24.893261957913637,1,"[160, 1024]"
26,04f478484ff20649,B014RWWURC,26,26.429088592529297,26.43541619181633,1,"[160, 1024]"
27,06d612cca0c9eae6,B073P1JNWZ,27,24.944543838500977,24.95059184730053,1,"[192, 1024]"
28,02e118fc9fcccaee,B07XKGLMR8,28,24.836223602294922,24.842306971549988,1,"[168, 1024]"
29,13f10df3e83f5d7d,B075X41RLD,29,24.885759353637695,24.891527369618416,1,"[180, 1024]"
