batch_index,batch_size_videos,model_boundary_cuda_ms,preprocessing_ms,host_to_device_ms,component_sum_decode_processor_transfer_model_ms,vision_block0_input_shape,language_block0_input_shape
0,16,680.5391235351562,6617.758117616177,83.85693281888962,7382.1541739702225,"[25088, 1024]","[16, 446, 2048]"
1,16,398.5234069824219,6603.831008076668,73.62278550863266,7075.977200567722,"[25088, 1024]","[16, 446, 2048]"
2,16,397.7420654296875,6801.218003034592,74.06879216432571,7273.028860628605,"[25088, 1024]","[16, 446, 2048]"
3,16,395.53228759765625,7642.204448580742,79.72103357315063,8117.457769751549,"[25088, 1024]","[16, 446, 2048]"
4,16,397.2618103027344,6551.866143941879,77.57370918989182,7026.7016634345055,"[25088, 1024]","[16, 446, 2048]"
5,16,394.2952880859375,7672.1828281879425,73.88428598642349,8140.3624022603035,"[25088, 1024]","[16, 446, 2048]"
6,16,394.9537353515625,1868.14084649086,73.25378805398941,2336.348369896412,"[25088, 1024]","[16, 446, 2048]"
7,16,395.32440185546875,1720.8809480071068,74.13522899150848,2190.340578854084,"[25088, 1024]","[16, 446, 2048]"
8,16,397.2669372558594,1912.595845758915,74.08202439546585,2383.94480741024,"[25088, 1024]","[16, 446, 2048]"
9,16,395.8702087402344,1857.7503561973572,74.37053322792053,2327.991098165512,"[25088, 1024]","[16, 446, 2048]"
10,16,396.9280090332031,2402.2825360298157,74.44427907466888,2873.6548241376877,"[25088, 1024]","[16, 446, 2048]"
11,16,395.652099609375,2116.555191576481,71.48423790931702,2583.691529095173,"[25088, 1024]","[16, 446, 2048]"
12,16,396.6423034667969,2575.7406651973724,76.1299803853035,3048.512949049473,"[25088, 1024]","[16, 446, 2048]"
13,16,396.62078857421875,3329.9589827656746,76.98575407266617,3803.5655254125595,"[25088, 1024]","[16, 446, 2048]"
14,16,397.5075988769531,2965.655632317066,77.3368775844574,3440.5001087784767,"[25088, 1024]","[16, 446, 2048]"
15,16,396.4610595703125,2768.444575369358,73.3691155910492,3238.2747505307198,"[25088, 1024]","[16, 446, 2048]"
16,16,396.83685302734375,3175.0407740473747,77.11553573608398,3648.9931628108025,"[25088, 1024]","[16, 446, 2048]"
17,16,396.0760192871094,2183.883883059025,74.69398528337479,2654.653887629509,"[25088, 1024]","[16, 446, 2048]"
18,16,396.8757629394531,1522.4804356694221,74.25015419721603,1993.6063528060913,"[25088, 1024]","[16, 446, 2048]"
19,16,396.3617248535156,1789.2206013202667,74.36758279800415,2259.9499089717865,"[25088, 1024]","[16, 446, 2048]"
20,16,396.9740905761719,1436.113402247429,69.83914971351624,1902.926642537117,"[25088, 1024]","[16, 446, 2048]"
21,16,396.6689147949219,1791.4356291294098,69.88014280796051,2257.984686732292,"[25088, 1024]","[16, 446, 2048]"
22,16,397.169677734375,1594.4460853934288,70.03416866064072,2061.6499317884445,"[25088, 1024]","[16, 446, 2048]"
23,16,397.95916748046875,2313.2829889655113,67.54368543624878,2778.785841882229,"[25088, 1024]","[16, 446, 2048]"
24,16,397.2464599609375,2451.93187892437,72.97034561634064,2922.148684501648,"[25088, 1024]","[16, 446, 2048]"
25,16,397.7185363769531,2372.1775487065315,72.78845459222794,2842.6845396757126,"[25088, 1024]","[16, 446, 2048]"
26,16,397.57415771484375,2478.0440405011177,73.91318678855896,2949.5313850045204,"[25088, 1024]","[16, 446, 2048]"
27,16,398.0984191894531,2347.1721783280373,74.60346072912216,2819.8740582466125,"[25088, 1024]","[16, 446, 2048]"
28,16,396.6719970703125,2762.1961534023285,71.29024714231491,3230.158397614956,"[25088, 1024]","[16, 446, 2048]"
29,16,397.6151123046875,695.3051388263702,74.35479015111923,1167.275041282177,"[25088, 1024]","[16, 446, 2048]"
30,16,399.1480407714844,529.3644219636917,74.63836669921875,1003.1508294343948,"[25088, 1024]","[16, 446, 2048]"
31,16,398.571533203125,494.42289024591446,77.00209319591522,969.9965166449547,"[25088, 1024]","[16, 446, 2048]"
32,16,398.065673828125,506.28437101840973,75.58249682188034,979.9325416684151,"[25088, 1024]","[16, 446, 2048]"
33,16,397.707275390625,445.5808475613594,75.31679421663284,918.6049171686172,"[25088, 1024]","[16, 446, 2048]"
34,14,344.7869567871094,354.5292466878891,60.05978584289551,759.375989317894,"[21952, 1024]","[14, 446, 2048]"
